rural,gender,fathed,mothed,mth_scor,sci_scor,phy_scor,bio_scor
0,1,1,2,43.28,49.04,42.07,46.3
0,1,1,4,42.96,49.33,48.54,47.71
0,1,2,2,48.63,59.34,61.64,56.25
0,0,2,3,45.88,45.48,47.25,41.15
0,1,NA,1,30.47,42.45,37.58,48.15
0,0,2,1,38.72,34.37,39.45,35.26
0,1,1,1,38.08,40.85,40.34,39.57
0,1,4,3,47.71,41.58,47.71,37.85
0,1,1,1,38.18,39.25,41.15,42.01
0,0,1,1,28.46,38.4,32.3,41.7
0,0,NA,NA,52.71,42.04,46.03,46.71
0,1,NA,NA,55.02,36.51,38.44,38.6
0,1,5,4,30.4,35.13,37.74,36.47
0,1,NA,1,40.44,29.76,27.33,26.17
0,0,4,3,43.99,53.69,57.69,53.01
0,1,2,2,40.31,33.63,37.72,36.96
0,0,2,2,38.89,37.84,40.48,39.7
0,1,2,1,41.34,41.06,44.97,41.17
0,0,2,2,46.26,56.46,55.34,47.85
0,0,1,1,46.2,33.6,38.76,29.25
0,0,1,2,44.53,39.65,38.51,45.71
0,1,2,2,51,46.13,47.32,53.01
0,0,3,2,40.47,34.75,36.04,39.7
0,0,NA,NA,51.49,45.97,45.93,44.2
0,0,2,2,46.71,49.18,48.97,50.06
0,0,3,2,38.14,37.98,40.45,38.6
0,1,NA,2,39.2,44.08,42.15,47.91
0,0,2,2,35.53,31.33,31.2,43.69
0,0,2,2,47.63,27.1,27.96,32.71
0,0,4,2,33.44,35.07,37.97,32.1
0,0,NA,1,35.92,29.66,32.58,32.1
0,1,2,2,41.45,52.84,55.6,53.01
0,1,1,1,35.61,31.02,32.45,39.7
0,0,1,2,45.06,46.46,40.97,56.54
0,0,2,2,38.41,51,46.6,51.17
0,1,NA,2,33.6,36.79,34.7,36.11
0,1,1,1,35.03,32.19,35.83,28.08
0,1,1,1,42.17,33.04,33.58,38.6
0,0,NA,2,34.37,36.14,40.15,46.3
0,1,3,2,39.93,36.66,33.54,42.01
0,0,2,2,39.35,40.28,41.64,41.17
0,0,2,2,44.16,35.96,43.81,32.36
0,1,4,2,43.56,45.99,43.85,35.52
0,1,1,1,41.08,33.73,31.5,35.16
0,1,2,1,32.71,40.5,37.56,46.4
0,0,4,2,33.26,40.46,34.72,45.56
0,0,1,2,51.42,51.39,52.72,50.24
0,0,2,3,47.42,53.36,55.85,54.19
0,1,2,2,41.94,41.01,44.8,42.65
0,0,4,1,43.61,56.42,57.66,44.4
0,1,2,2,68.15,58.4,56.14,57.94
0,1,4,4,62.13,67.47,64.91,65.73
0,1,2,2,63.53,57.07,56.85,57.94
0,0,4,4,62.86,64.79,68.26,58.65
0,0,2,2,38.93,50.24,51.36,45.71
0,1,2,3,58.21,48.01,46.58,51.87
0,1,3,2,59.35,55.46,50.51,54.37
0,0,3,2,46.69,42.16,40.82,33.96
0,0,2,2,59.66,62.68,62.14,52.36
0,0,4,4,69.87,67.13,62.42,70.58
0,0,NA,2,41.81,42.68,43.97,43.65
0,0,4,2,64.76,63.06,63.03,58.65
0,0,4,2,39.69,47.21,49.17,52.03
0,1,2,2,55.17,46.87,50.47,46.22
0,0,5,3,58.23,67.01,65.88,57.94
0,0,4,5,48.12,63.57,62.63,58.65
0,1,2,2,54.6,62.78,57.73,70.58
0,1,2,2,54.41,62.8,59.98,56.54
0,0,4,4,75.93,73.66,73.81,70.58
0,0,4,4,62.01,88.03,87.29,70.58
0,0,2,1,38.07,37.78,39.17,44.6
0,0,3,3,53.21,50.46,56.3,45.76
0,1,5,2,53.06,63.22,65.82,59.03
0,0,4,5,46.49,58.24,59.57,59.52
0,1,2,2,53.94,56.39,51.55,58.65
0,0,2,2,59.79,47.14,51.65,59.16
0,1,5,5,42.23,45.09,44.91,38.02
0,1,NA,2,53.12,49.24,50.2,48.48
0,1,4,2,60.53,63.02,60.01,64.67
0,1,2,3,62.03,54.12,57.76,47.29
0,1,NA,2,53.24,48.76,45.68,50.24
0,1,4,4,71.91,63.79,58.8,63.14
0,1,2,1,44.37,47.74,44.99,54.19
0,1,4,2,60.99,62.03,62.43,53.95
0,0,4,4,40.08,47.04,51.24,44.6
0,0,4,5,43.36,44.92,41.28,40.41
0,1,4,2,41.4,44.75,39.84,53.68
0,0,4,2,45.2,52.23,59.46,47.91
0,0,3,2,67.51,68.44,64.67,63.13
0,0,4,2,66.67,68.26,68.37,70.58
0,0,2,2,40.47,37.22,34.42,44.58
0,0,2,2,57.42,49.34,50.39,49.93
0,0,2,3,60.57,59.43,56.22,53.01
0,1,2,2,57.18,43.39,40.84,54.19
0,0,4,2,52.08,62.91,60.98,59.03
0,1,2,2,73.33,58.21,56.38,59.52
0,1,2,2,50.39,49.96,46.86,56.19
0,1,2,4,52.03,54.28,51.79,44.63
0,0,3,3,50.78,55.36,59.15,53.01
0,0,5,2,67.21,76.52,79.37,65.73
0,0,4,4,58.54,65.2,63.39,58.21
0,1,2,2,37.11,50.49,47.29,56.19
0,1,2,2,48.74,47.96,45.99,53.01
0,1,4,2,46.07,51.27,45.26,50.07
0,1,4,4,42.1,54.5,52.44,56.57
0,1,2,2,54.19,66.21,62.81,70.58
0,1,5,2,62.62,50.62,53.78,52.91
0,1,5,4,65.19,56.31,54.31,45.81
0,1,2,3,57.9,56.27,49.16,59.03
0,0,5,2,34.89,58.31,54.71,63.13
0,0,2,3,49.6,49.58,50.85,54.19
0,1,2,2,55.51,54.71,57.77,52.91
0,1,2,2,59.76,59.55,55.99,63.14
0,1,2,2,48.43,41.77,44.22,36.06
0,1,2,4,58.26,54.84,51.32,48.73
0,1,5,2,58.55,58.35,53.99,63.14
0,0,NA,5,77.91,71.39,69.66,70.58
0,1,4,4,64.5,57.82,57.49,59.52
0,0,2,2,53.6,53.69,55.44,53.01
0,1,2,4,46.34,44.04,41.81,43.05
0,1,4,2,42.69,50.2,50.13,54
0,1,5,2,73.65,70.51,68.58,63.14
0,0,2,2,53.61,65.47,64.72,58.65
0,1,2,2,59.15,63.13,63.97,50.94
0,0,2,3,64.81,61.49,62.35,56.25
0,0,2,3,66.83,64.37,62.34,70.58
0,0,2,2,71.56,59.14,58.19,56.41
0,0,3,2,74.01,70.41,68.72,70.58
0,0,2,2,71.19,75.1,73.79,64.67
0,1,2,2,72.35,64.01,62.83,54
0,1,3,2,61.83,60.91,58.77,50.24
0,1,NA,2,71.79,64.37,62.01,60.43
0,1,5,2,67.21,66.54,66.31,60.43
0,1,2,1,67.82,61.01,59.76,54
0,1,2,2,74.19,63.65,68.68,46.71
0,1,2,2,69.51,65.14,64.17,54.19
0,1,2,1,63.45,54.2,51.05,50.24
0,0,2,4,60.66,58.55,59.52,54.19
0,1,2,2,62.29,61.81,60.49,52.91
0,1,2,2,64.54,59.88,56.75,56.19
0,1,2,2,49.85,49.05,47.95,39.71
0,0,2,3,56.33,52.27,53.42,46.71
0,0,2,2,53.34,60.03,59.34,57.94
0,0,4,2,42.65,40.09,39.79,53.01
0,0,2,2,53.18,54.03,60.27,50.48
0,0,2,2,61.01,52.98,48.41,52.91
0,0,2,2,37.21,36.1,36.97,35.93
0,0,2,2,64.99,45.74,45.16,45.76
0,1,5,4,62.91,57.97,55.99,56.25
0,1,2,2,55.86,58.41,57.29,58.65
0,1,2,2,61.65,58.97,61.78,54.19
0,1,2,2,61.55,51.91,54.84,49.69
0,1,3,1,51.41,63.14,61.32,64.67
0,0,3,2,57.96,56.54,59.95,64.67
0,0,NA,2,58.33,54.85,53.5,51.97
0,1,1,1,57.77,53.07,57.25,49.98
0,1,2,1,51.54,51.79,49.75,56.19
0,1,2,2,54.42,41.31,40.4,46.71
0,0,3,1,53.57,51.32,52.67,50.06
0,0,1,1,55.85,47.7,53.49,50.24
0,0,2,3,38.57,40.28,44.76,33.1
0,1,2,3,40.16,43.89,51.09,28.31
0,1,2,2,46.52,45.62,58.78,39.71
0,1,2,1,49.19,56.55,57.74,52.91
0,1,2,2,40.99,49.32,54.26,38.15
0,1,3,2,42.41,45.22,48.44,25.96
0,0,1,2,49.57,45.32,45.93,52.91
0,0,2,2,50.46,39.32,39.31,40.61
0,0,2,4,59.11,73.38,79.27,58.65
0,0,2,3,41.92,38.03,45.12,24.88
0,0,4,3,47.46,41.78,39.17,46.7
0,0,2,3,47.8,44.4,49.47,47.91
0,1,1,2,33.83,40.97,37.08,53.01
0,1,1,5,54.66,47.78,52.8,50.24
0,1,5,1,45.42,37.84,35.93,62.73
0,0,2,2,81.21,75.36,79.05,64.67
0,0,2,1,73.17,69.09,66.52,63.14
0,1,4,2,56.4,63.11,60.93,64.67
0,1,5,2,70.89,65.25,61.39,53.88
0,1,4,2,61.87,69.71,65.96,70.58
0,0,2,1,47.16,54.1,55.63,52.91
0,0,1,2,36.64,41.79,43.42,45.76
0,0,2,2,50.92,40.7,42.44,47.21
0,1,NA,2,47.94,34.51,33.18,40.42
0,1,3,1,43.2,37.47,45.24,32.1
0,1,2,5,46.33,57.88,57.36,54.44
0,1,2,1,39.23,51.81,53.97,55.73
0,1,2,1,42.81,48.86,51.43,55.73
0,1,2,2,46.64,44.19,44.4,53.68
0,1,2,2,45.38,46.98,44.46,44.93
0,1,5,4,66.48,64.53,68.05,54
0,1,2,2,56.62,58.43,55.65,63.14
0,0,2,2,50.4,60.3,60.53,47.91
0,1,2,1,47.05,44.76,39.14,42.65
0,0,2,2,56.55,60.65,59.57,58.65
0,0,3,2,68.4,65.01,62.02,63.13
0,1,3,3,58.42,62.01,62.59,63.14
0,0,1,1,36.37,49.57,47.12,58.21
0,0,NA,2,37.09,38.48,42.05,43.84
0,0,3,2,35.92,33.26,37.11,36.47
0,1,2,2,45.93,44.38,45.29,47.39
0,0,2,2,61.07,58.77,55.67,53.01
0,0,3,1,33.01,34.52,40.59,39.7
0,1,1,1,34.93,49.78,55.29,37.03
0,0,NA,2,54.36,49.72,53.03,48.21
0,0,1,1,46.89,42.03,44.35,40.42
0,0,1,1,54.64,49.37,54.29,42.65
0,1,1,2,44.95,35.37,38.37,37
0,0,NA,2,52.79,61.34,60.93,63.13
0,0,NA,3,44.31,52.93,52.67,52.91
0,0,2,2,58.03,59.23,53.81,57.94
0,0,2,1,34.81,43.7,40.35,45.12
0,1,4,1,51.52,54.43,56.26,47.91
0,0,2,3,58.29,57.47,51.42,63.13
0,1,2,2,NA,NA,NA,NA
0,0,1,3,NA,NA,NA,NA
0,1,5,2,41.75,43.31,40.19,39.57
0,0,2,3,35.73,46.74,46.43,44.85
0,0,5,1,35.79,26.75,27.7,36.96
0,0,2,2,52.43,56.99,58.41,49.69
0,0,2,2,54.33,49.95,49.97,52.85
0,0,NA,2,NA,NA,NA,NA
0,1,1,1,42.97,38.05,40.38,37.33
0,0,3,3,33.37,41.24,43.19,35.15
0,1,1,1,41.57,50.14,46.55,47.08
0,1,NA,2,50.31,54.86,49.67,55.73
0,0,2,2,64.32,60.62,57.47,56.25
0,1,NA,3,53.2,48.77,46.79,56.25
0,1,2,2,47.44,40.72,45.47,44.6
0,0,4,2,48.1,56.42,60.87,52.91
0,1,3,2,40.48,29.38,31.09,39.57
0,1,NA,1,41.76,40.22,39.4,39.89
0,0,1,2,47.38,49.19,54.94,44.93
0,1,3,2,41.12,46.36,49.02,55.73
0,0,1,2,53.45,32.6,34.8,35.1
0,1,2,2,NA,NA,NA,NA
0,0,2,1,53.81,60.07,62.21,56.34
0,1,3,2,46.49,50.36,44.77,52.91
0,0,2,2,41.14,37.36,39.6,38.01
0,0,1,2,56.97,54.29,53.74,56.19
0,1,2,2,48.41,43.71,40.36,41.57
0,1,2,1,61.64,57.44,58.08,50.18
0,1,2,5,67.24,59.18,59.9,50.18
0,0,3,1,47.1,45.59,47.68,45.56
0,1,2,2,51.07,56.33,55.8,63.13
0,0,3,2,66.47,70.81,74.64,64.67
0,1,1,2,44.32,42.99,42.38,62.73
0,1,2,2,59.51,59.91,59.11,56.25
0,0,1,1,38.26,44.38,44.91,46.3
0,1,3,2,40.53,47.94,46.58,55.73
0,1,1,1,48.37,57.91,58.24,52.91
0,0,4,1,51.85,45.8,45.67,47.85
0,1,2,2,63.07,49.91,55.11,42.63
0,1,2,2,46.09,36.43,41.7,39.7
0,1,2,2,55.8,50.63,49.12,53.01
0,0,2,2,38.82,39,43.9,42.63
0,1,2,2,39.62,45.46,45.24,50.24
0,0,1,1,59.88,76.1,76.66,70.58
0,1,2,1,47.43,42.4,44.45,42.01
0,1,2,2,55.81,50.74,45.21,50.48
0,0,3,2,38.13,53.42,50.97,53.01
0,1,2,2,43.19,44.09,41.83,43.8
0,1,4,2,54.92,39,38.33,39.7
0,1,1,1,NA,42.95,39.99,47.85
0,0,2,2,55.46,50.78,49.52,49.93
0,0,2,1,46.63,36.46,39.76,41.05
0,1,2,2,34.02,45.09,43.16,50.94
0,0,1,4,44.14,46.83,51.45,40.42
0,0,1,2,39.61,44.93,41.43,58.65
0,1,2,2,42.25,43.88,39.79,44.32
0,1,2,1,47.48,37.61,41.59,24.75
0,0,4,2,69.35,50.04,54.72,54.37
0,0,2,3,47.38,56.61,57.09,58.65
