Title,Parameters,LL,BIC,aBIC,CIAC,AWE,T11_VLMR_PValue,BLRT_PValue,BF,cmPk
 Class 1,5,-10250.604,20541.34,20525.45348138242,20546.340484694727,20596.47296938945,NA,NA,0,0
 Class 2,11,-8785.317,17658.925,17623.97405904133,17669.925466328397,17780.216932656796,0,0,4.092077510302345e-30,1.841742372827058e-32
 Class 3,17,-8693.569,17523.588,17469.572636700243,17540.588447962073,17711.038895924143,0,0,0.004521099782601269,0.004500751435402258
 Class 4,23,-8664.09,17512.79,17439.70921435915,17535.789429595745,17766.39885919149,0,0,5216017413.275967,0.9954992483737435
 Class 5,29,-8662.386,17557.54,17465.395792018062,17586.540411229416,17877.308822458835,0.6736,1,12320125725.587027,1.9085428009499516e-10
 Class 6,35,-8661.541,17604.009,17492.800369676967,17639.00939286309,17989.93678572618,0.7522,1,NA,1.549126075057983e-20
