bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
2,1,9,3,3,43.34,46.23,41.3,1,2,3,4,3,3,2,3,3,1,2,1,1,1,1,1,4,3
2,1,11,5,5,56.4,57.51,54.48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,12,6,5,44.26,45.61,43.64,1,2,4,4,3,4,4,2,2,1,1,1,1,1,1,1,3,1
2,1,10,3,3,46.92,45.06,49.18,3,2,4,3,3,3,2,2,2,1,2,1,1,1,1,2,1,2
1,1,8,2,5,43.01,45.01,41.91,1,3,2,2,3,4,3,3,1,2,1,1,2,2,1,1,3,3
2,1,12,NA,5,40.3,38.94,42.9,1,2,2,3,2,4,1,2,4,1,2,1,3,1,2,1,3,5
1,1,9,5,5,49.78,50.05,49.55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8,5,5,48.77,53.7,44.01,5,3,3,3,2,2,2,4,2,2,2,1,1,1,2,1,2,1
1,1,13,5,5,54.06,51.03,56.58,1,3,3,3,4,NA,4,NA,2,1,1,2,1,1,1,1,3,1
2,1,12,2,5,32.93,28.09,39.94,1,3,1,4,4,4,2,4,1,1,1,2,1,1,1,2,4,1
1,1,8,5,6,58.34,55.59,60.03,6,1,3,4,3,2,2,1,2,1,1,1,1,2,1,2,2,1
2,1,9,5,5,61.73,56.27,65.7,4,2,4,4,3,3,4,NA,1,1,1,1,1,1,1,1,1,1
NA,NA,10,NA,6,49.63,52.77,46.54,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,6,45.29,43.33,47.85,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,12,6,5,78.38,74.4,78.76,4,2,3,3,2,2,3,3,2,2,2,1,1,1,2,3,3,2
2,1,11,6,7,53.11,52.69,53.13,5,3,2,2,2,3,3,4,2,2,2,3,2,1,2,2,1,2
2,1,9,7,5,53.04,49.99,55.71,4,2,4,4,4,4,4,2,2,1,1,1,2,1,1,1,3,1
2,1,10,7,5,53.09,50.69,55.1,3,2,3,3,3,3,3,3,3,2,2,3,1,1,2,2,3,3
1,1,1,5,5,59.54,57.35,60.52,4,2,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1
1,1,7,6,6,61.82,58.79,63.35,5,2,3,4,3,4,4,2,2,2,1,1,1,1,1,1,1,1
1,1,9,NA,7,62.31,56.87,66.19,7,2,4,2,2,3,3,2,3,2,2,1,1,2,1,2,1,1
2,1,4,NA,7,41.09,39.68,43.64,7,2,4,4,4,3,3,2,3,1,1,1,1,2,1,1,2,1
1,1,10,5,5,46.99,50.48,43.88,4,2,3,3,3,3,3,2,3,1,1,1,1,1,1,1,2,1
2,1,7,5,5,43.79,41.04,47.33,4,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,3,1
1,1,10,6,6,60.88,59.74,60.64,4,2,4,4,2,NA,3,2,2,1,1,1,1,1,1,1,2,1
1,1,7,3,3,48.01,51.53,44.75,4,2,2,2,3,1,2,2,2,2,3,3,2,2,2,2,1,2
2,1,12,7,7,68.14,69.51,64.46,3,2,3,4,3,4,4,2,2,1,1,1,1,1,1,1,5,1
1,1,11,6,5,48,44.86,51.4,3,2,4,4,3,3,3,3,2,1,1,1,1,1,1,1,4,2
1,1,13,7,7,74.37,78.35,67.3,3,2,3,4,3,3,3,2,2,2,1,1,1,1,1,1,3,1
2,1,10,5,7,36.97,36.65,38.96,5,2,4,4,1,3,3,1,2,2,1,1,1,1,1,1,1,1
NA,NA,8,NA,5,47.24,47.44,47.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10,7,7,69.54,67.33,69.27,4,2,4,3,2,4,3,1,2,2,1,1,1,1,1,1,2,1
2,1,8,2,6,38.91,37.57,41.67,3,2,3,2,2,3,3,3,2,1,2,1,1,1,1,1,2,1
1,1,7,5,6,50.05,49.92,50.17,3,2,3,4,2,3,4,3,1,1,1,1,1,1,1,1,1,1
1,1,11,6,5,46.74,55.3,38.59,4,2,3,3,3,2,2,3,3,1,2,1,1,1,1,1,3,1
1,1,8,4,6,30.32,34.05,29.1,4,2,1,3,1,4,1,NA,2,1,NA,NA,NA,1,1,NA,2,2
2,1,10,7,7,53.26,56.68,49.43,4,3,4,3,3,2,3,3,2,1,1,1,1,1,1,1,3,1
1,1,10,5,2,35.93,39.87,33.78,2,2,3,4,3,4,3,4,2,1,3,2,1,1,1,1,2,3
1,1,3,7,6,51.82,54.61,48.81,NA,2,3,3,2,3,2,4,2,2,2,1,1,1,1,2,1,1
2,1,8,6,6,43.44,42.11,45.61,7,4,2,2,2,2,4,4,4,1,1,2,1,3,1,1,2,2
1,0,5,3,3,34.28,30.75,39.82,7,2,4,4,1,2,4,4,1,1,2,1,3,2,1,1,4,3
1,1,9,5,7,45.58,48.22,43.51,5,3,4,3,3,3,3,4,1,1,1,2,1,2,1,1,2,2
2,1,8,1,7,42.83,41.09,45.49,5,2,3,2,1,4,3,2,2,1,1,1,1,1,1,1,2,1
1,1,12,7,7,51.12,53.41,48.69,5,2,4,4,3,2,3,2,2,1,1,1,1,1,1,1,4,1
2,1,7,5,6,55.75,53.45,57.32,5,2,3,3,3,2,2,2,2,1,2,1,1,1,1,1,2,1
1,1,9,4,7,45.36,34.61,56.7,5,2,4,3,2,2,3,3,2,1,2,1,2,1,1,1,3,2
2,1,9,5,5,41.11,48.46,34.89,NA,2,3,4,3,3,4,2,3,1,1,1,1,1,1,1,5,1
2,1,11,7,7,47.5,48.36,46.96,NA,2,4,4,1,4,2,3,2,2,1,2,1,1,1,2,3,1
1,1,9,5,6,46.77,46.49,47.46,6,2,4,4,4,4,4,3,1,2,1,1,1,1,1,1,2,1
1,1,10,6,6,43.61,43.79,44.25,6,3,2,3,2,3,2,4,2,1,1,1,1,1,1,1,3,1
NA,NA,8,NA,6,46.87,47.57,46.57,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10,5,6,53.97,50.25,57.19,7,2,4,4,1,3,3,3,2,1,1,1,1,1,1,1,3,1
1,1,10,5,7,54.41,57.72,50.54,6,2,3,4,2,2,3,2,3,2,1,2,1,1,2,1,2,1
2,0,10,6,6,54.82,57.15,51.89,6,2,4,4,2,3,3,2,2,1,1,1,1,1,1,1,2,1
2,1,11,7,7,59.26,55.59,61.75,3,2,4,4,3,4,4,2,2,1,1,1,1,1,1,1,1,1
2,NA,10,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,13,5,7,43.61,41.31,46.72,NA,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,1
2,1,11,5,5,52.66,47.79,57.19,1,3,3,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2
2,1,12,7,5,51.64,57.72,45.36,1,2,3,3,2,2,3,3,2,1,1,1,1,1,1,1,1,1
2,1,7,2,7,44.06,45.98,42.9,5,3,2,3,1,2,3,3,3,2,1,1,1,1,1,1,2,2
2,1,9,7,6,56.15,53.46,58.06,5,3,3,4,3,4,3,2,2,2,1,1,1,1,1,1,2,1
1,1,7,5,2,35.34,35.2,37.35,5,2,3,3,2,2,1,3,2,1,1,1,1,2,1,1,1,1
2,1,11,6,7,51.38,49.08,53.5,5,2,2,4,1,4,3,2,2,1,1,1,1,1,1,2,1,1
1,0,3,5,6,38.57,37.54,41.05,6,4,4,1,1,1,1,4,1,2,1,1,3,1,1,1,1,1
1,1,8,5,7,34.17,33.62,36.74,6,2,3,3,2,2,3,2,2,2,2,1,1,1,1,1,2,1
2,1,10,7,7,53.48,52.17,54.36,6,NA,NA,4,NA,3,3,3,2,1,1,1,1,1,1,1,3,3
2,1,11,7,5,57.12,50.6,62.74,6,2,3,3,2,3,3,3,3,2,1,1,1,1,1,1,4,1
1,1,9,5,6,51.47,53.21,49.55,5,2,4,4,3,4,4,4,2,1,1,1,2,1,1,1,1,1
1,1,9,5,5,31.97,33.19,33.04,5,2,4,3,2,3,3,2,2,1,1,1,1,2,1,1,2,1
2,1,6,2,2,43.63,42.35,45.73,4,2,2,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1
2,1,7,5,5,33.98,38.33,31.68,NA,2,4,4,1,2,1,2,1,1,1,1,1,1,2,2,1,1
1,1,10,5,6,43.81,46.37,42.04,NA,2,4,3,1,4,4,3,3,1,1,1,1,1,1,1,1,2
2,1,9,6,7,53.11,53.81,52.02,5,3,3,3,3,4,3,3,3,1,1,1,1,1,1,1,3,1
1,1,9,3,2,44.89,46.05,44.38,5,2,3,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1
2,1,10,5,5,49.51,49.29,49.8,NA,3,4,NA,NA,NA,NA,2,3,1,1,1,1,1,1,1,2,1
1,1,6,3,5,27.15,31.07,26.14,NA,4,3,2,3,4,2,4,3,1,1,1,1,1,1,1,2,1
2,1,5,6,5,58.45,58.51,57.32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,5,7,57.18,60.58,52.88,2,2,3,2,3,4,3,3,3,1,3,1,1,1,1,1,5,3
1,1,10,5,6,62.71,64.64,59.16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,5,5,47.54,46.58,48.81,1,2,3,3,3,3,3,3,2,2,1,1,1,1,1,3,4,1
2,1,12,5,7,50.9,47.7,53.99,1,2,2,3,3,3,3,2,2,1,2,1,1,1,1,1,1,1
1,1,12,6,6,57.47,61.6,52.39,1,1,4,4,3,3,4,3,2,1,1,1,1,1,1,1,3,1
2,1,10,6,5,42.06,42.11,43.02,NA,2,3,4,3,3,4,2,2,1,1,1,1,1,1,2,3,2
2,1,11,NA,6,54.77,59.88,49.06,NA,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,3,1
2,0,6,NA,5,48.98,46.81,51.28,NA,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,2,1
1,1,9,5,7,49.34,41.95,56.82,NA,2,3,4,1,3,3,2,2,1,1,1,1,2,1,2,5,2
2,1,10,6,5,51.32,51.2,51.28,3,2,4,4,1,3,3,2,2,2,3,1,1,1,1,2,2,2
1,0,7,4,2,45.53,45.4,46.23,1,2,3,4,4,1,3,3,2,1,3,1,3,1,1,1,3,4
2,0,5,NA,5,53.03,56.13,49.55,1,3,2,3,1,2,2,2,2,1,1,1,1,1,1,1,4,3
2,1,10,5,5,49.6,51.42,47.83,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,1,7,39.99,46.24,35.01,6,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,4,3
2,0,2,5,7,27.33,25.86,31.68,6,2,3,4,3,4,4,1,2,1,1,1,1,1,1,1,3,2
1,1,8,6,3,58.73,60.39,55.96,1,2,3,3,3,3,3,3,2,1,1,2,1,1,1,1,2,1
2,1,5,6,6,59.19,55.47,61.75,1,2,4,3,3,4,2,1,2,1,1,1,1,1,1,1,3,1
2,0,7,5,7,59.6,64.48,53.5,5,2,4,4,3,3,4,2,2,1,1,1,1,1,1,1,1,1
2,1,10,6,5,53.45,53.84,52.63,1,2,4,4,3,4,3,2,3,2,3,1,1,1,1,1,2,1
2,1,7,6,5,55.78,54.75,56.08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10,5,5,45.89,49.28,43.02,3,2,4,4,3,3,3,2,3,2,1,2,1,1,1,1,2,1
2,1,8,7,7,59.8,63.26,55.1,NA,2,3,3,3,3,3,2,3,1,1,1,1,1,1,2,1,1
1,0,6,NA,7,33.96,37.17,32.79,7,2,3,3,4,3,2,3,1,1,2,1,1,1,1,1,2,2
1,1,10,5,3,51.77,48.21,55.1,7,2,2,4,2,2,3,4,4,1,1,1,1,2,2,1,1,1
1,1,10,6,5,59.4,67.06,50.54,3,2,3,3,2,3,3,2,3,1,1,1,1,3,1,2,1,1
1,1,8,6,5,54.44,53.1,55.22,3,2,4,4,2,4,4,2,2,1,1,1,1,2,2,1,2,1
2,1,9,5,3,71.36,70.85,69.15,3,2,3,3,1,3,3,2,3,3,1,1,1,1,1,1,2,1
2,0,5,6,7,38.32,44.35,33.78,4,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,2,1
1,1,9,7,5,61.23,58.06,62.98,4,2,3,4,4,4,4,3,3,1,1,1,1,1,1,1,5,1
1,1,12,5,5,50.56,55.56,45.49,1,2,3,3,2,3,4,3,3,2,2,1,1,1,1,1,2,2
2,0,10,6,5,68.24,64.53,69.64,1,2,4,3,2,4,4,2,2,1,1,1,1,1,1,1,3,1
2,1,12,NA,6,64.59,53.74,73.58,1,2,3,4,2,3,4,2,3,1,1,1,1,1,1,2,3,2
2,0,8,7,7,45.37,48.93,42.41,6,2,3,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1
2,1,9,5,6,39,40.7,38.71,6,2,3,2,2,3,3,3,3,1,2,1,1,1,1,1,5,4
1,0,10,5,7,48.52,50.27,46.96,3,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,3,1
2,1,9,5,5,46.05,42.8,49.8,NA,2,3,4,3,4,3,2,2,2,1,1,1,1,1,1,3,1
2,1,10,6,6,56.96,49.81,63.23,NA,2,4,4,3,4,4,2,2,2,1,1,1,1,1,1,5,4
1,1,9,6,5,41.19,41.22,42.28,NA,2,4,4,3,4,3,2,3,2,2,1,2,2,1,1,3,3
NA,NA,2,NA,5,50.07,47.44,52.69,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,3,5,5,47.74,52.5,43.27,3,2,2,3,2,3,3,2,2,2,1,2,1,3,1,3,2,1
1,1,5,3,3,60.18,62.99,56.08,3,2,4,3,3,2,4,1,1,2,3,1,2,2,1,1,2,1
2,1,9,7,6,59.1,61.08,55.96,3,2,4,4,2,3,4,1,2,1,1,1,1,1,1,1,1,1
2,1,4,NA,6,48.93,50.79,47.21,3,3,4,3,3,3,4,2,2,2,1,1,1,1,1,1,2,1
2,1,5,6,5,62.87,53.84,70.26,4,2,4,3,2,3,4,3,2,2,1,1,1,1,1,1,5,5
2,0,9,6,3,28.33,26.76,32.67,5,3,3,2,1,3,2,NA,2,1,1,1,1,1,1,1,3,2
1,1,11,7,6,73.62,68.06,76.17,5,3,4,2,4,2,4,4,4,1,1,1,1,1,1,1,3,1
1,1,10,5,6,37.16,37.49,38.46,5,3,3,3,3,2,3,3,3,3,2,1,1,2,1,1,4,3
1,0,11,7,5,52.73,53.23,51.89,5,2,4,4,2,3,3,2,2,1,1,1,1,1,1,1,2,1
1,1,1,7,7,70.99,68.69,70.62,5,1,4,4,3,4,4,NA,1,1,1,1,1,1,1,1,1,1
1,1,5,5,5,51.57,48.71,54.24,5,2,3,4,3,4,4,3,2,1,1,1,1,1,1,1,3,1
1,1,11,7,5,31.53,33,32.42,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5
2,1,10,5,5,50.26,51.43,49.06,2,2,3,3,2,3,3,2,2,2,1,1,1,1,1,1,1,1
2,1,10,6,6,62.31,61.17,61.88,2,2,4,3,1,3,3,1,2,1,1,1,1,1,1,1,2,1
2,1,12,5,6,50.58,43.78,57.32,2,2,3,3,2,3,3,3,3,2,1,1,1,1,1,3,2,3
2,1,8,6,5,56.72,52.93,59.66,5,2,3,3,3,4,4,2,3,1,1,1,1,1,1,1,2,1
2,1,11,5,6,57.46,54.93,59.04,5,2,4,4,3,4,3,2,3,1,1,1,1,1,1,2,2,1
2,0,8,5,7,48.81,46.98,50.79,3,3,3,3,2,3,2,3,2,1,1,1,1,1,1,1,3,2
NA,NA,11,NA,5,40.21,42.84,38.82,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,5,7,51.57,47.48,55.47,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,5,38.68,38.85,39.96,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,2,5,7,35.69,34.62,38.59,3,2,3,3,2,2,2,2,2,2,1,2,1,1,1,2,3,2
2,0,8,7,5,52.48,55.71,48.94,3,2,4,4,4,1,4,2,3,3,1,1,1,1,3,1,3,1
NA,NA,10,NA,2,37.72,35.82,41.18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8,5,6,44.03,47.03,41.79,7,2,4,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1
1,0,9,2,5,35.26,37.63,34.77,7,2,3,3,2,2,3,2,4,2,3,3,1,1,1,1,3,2
2,0,7,7,7,36.03,34.89,38.96,2,2,3,2,3,2,1,2,3,1,1,1,1,1,1,1,2,1
1,1,7,4,5,39.26,40.33,39.57,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,5,44.07,46.96,41.94,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,NA,4,40.06,38.98,42.41,6,2,4,4,3,2,3,NA,3,2,1,3,1,1,1,3,2,1
1,0,8,7,5,59.11,68.25,48.81,1,2,3,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1
2,NA,2,NA,5,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,11,6,7,47.06,43.47,51.03,6,2,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1
2,1,9,NA,5,36.81,38.93,36.37,6,2,3,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1
2,0,5,4,7,30.26,29.51,33.53,6,3,4,3,3,4,2,4,2,2,3,1,1,1,1,1,5,4
2,0,13,7,7,56.36,55.21,56.7,4,2,3,4,3,2,3,2,3,1,1,1,1,1,1,1,2,1
2,0,9,2,2,39.73,41.69,39.08,5,3,3,3,3,2,2,3,1,2,1,2,2,2,1,1,5,5
2,0,8,5,5,42.47,43.63,42.28,NA,2,NA,2,2,2,2,NA,NA,2,1,NA,1,1,1,1,1,1
1,0,9,2,7,42.61,46.6,39.57,5,2,2,3,4,1,1,4,3,2,3,3,2,3,2,1,3,5
2,0,6,7,7,51.72,50.34,52.88,4,3,3,3,1,1,3,2,3,3,1,1,1,1,1,1,5,2
2,0,3,6,6,50.32,52.04,48.57,5,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,4,1
1,1,10,3,7,44.4,45.38,44.13,5,2,2,3,2,2,2,4,1,2,3,3,3,3,1,2,3,5
1,0,3,5,6,41.98,41.71,43.27,NA,1,3,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1
1,0,5,5,5,46.85,50.46,43.64,NA,3,3,3,2,2,3,2,2,1,1,1,1,1,1,1,2,1
2,0,10,7,5,59.54,60.43,57.44,2,2,2,4,2,4,4,3,3,1,1,1,1,1,1,1,2,1
2,1,11,6,5,58.35,61.53,54.11,2,2,3,3,3,2,3,3,2,3,3,3,2,3,2,3,2,5
2,1,5,4,2,37.24,36.29,39.82,5,2,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1,1,6,5,2,45.73,43.69,48.32,6,2,4,4,3,3,4,1,1,2,1,1,1,1,1,1,3,1
1,0,10,3,5,46.85,54.29,39.82,NA,2,2,3,3,4,3,2,2,1,1,1,1,1,1,1,1,1
2,0,4,5,5,39.76,37.93,42.9,6,3,2,2,2,3,3,2,3,1,1,1,1,1,1,1,2,1
2,0,13,5,5,59.76,61.46,56.82,6,1,4,4,3,3,3,2,2,1,1,1,1,1,1,1,2,1
2,1,11,3,5,43.32,41.89,45.61,5,2,3,3,3,3,2,3,3,1,1,1,1,1,1,1,4,5
2,1,12,7,7,64.08,54.76,71.61,5,2,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1
1,1,10,5,6,49.64,54.58,44.75,4,3,4,4,2,3,3,2,2,1,1,1,1,1,1,1,3,2
1,1,9,6,7,54.59,56.71,51.89,4,2,4,4,4,3,3,2,2,2,2,1,1,1,1,1,2,1
1,1,11,5,6,59.67,59.45,58.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,9,NA,5,38.6,37.49,41.17,2,3,3,4,3,4,1,4,3,2,2,1,1,1,2,2,5,3
1,1,10,2,5,43.53,47.58,40.31,2,2,2,3,2,2,2,3,2,2,3,2,2,2,1,2,2,3
2,1,2,3,5,42.96,42.94,43.88,2,2,3,3,2,2,3,4,2,2,1,1,1,1,1,1,5,4
1,0,11,6,7,49.58,48.42,50.79,2,2,3,4,2,3,4,2,3,2,1,2,1,1,1,1,2,1
2,0,3,6,7,41.75,42.27,42.28,2,2,3,3,3,3,3,2,3,1,1,1,1,1,1,2,2,1
2,0,6,5,5,31.2,27.94,36.86,6,2,3,2,2,2,3,1,1,1,1,1,1,1,1,1,2,1
1,1,6,4,5,40.44,43.65,38.46,6,2,3,3,3,NA,3,3,2,2,1,1,1,1,1,1,3,1
2,0,9,NA,7,35.55,31.89,41.05,6,2,4,NA,4,NA,3,2,2,2,1,1,1,1,1,1,5,3
2,1,8,7,7,47.59,47.43,48.07,NA,2,3,3,2,2,1,3,3,3,1,2,2,2,2,1,5,2
2,1,10,5,6,37.05,37.16,38.59,5,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,3,2
2,1,5,4,2,36.13,31.98,42.04,2,4,3,4,1,4,2,1,2,3,1,3,1,1,2,3,1,1
1,1,12,7,5,72.94,69.51,73.46,4,2,3,3,3,3,3,2,3,1,1,1,1,1,1,1,2,3
1,0,11,5,5,45.74,46.67,45.36,4,2,2,3,2,2,2,3,2,2,1,1,1,1,2,1,3,3
2,1,7,7,6,57.89,58.2,56.58,1,2,3,4,3,4,3,1,2,1,1,2,1,1,1,2,2,1
2,1,8,7,7,43.34,42.78,44.75,1,2,3,2,2,3,3,2,2,2,1,2,2,2,1,2,2,1
2,1,8,6,6,58.84,56.66,59.9,1,2,4,4,4,4,2,2,3,1,1,1,1,1,1,1,1,1
1,1,10,6,6,55.79,55.75,55.1,1,2,3,2,2,3,3,2,2,2,1,3,1,2,2,2,3,1
1,1,11,6,6,61.39,56.75,64.59,1,3,3,3,2,2,2,2,3,2,1,1,1,2,1,1,2,1
NA,NA,9,NA,5,49.16,48.9,49.54,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,NA,7,61.23,66.18,54.85,4,2,3,3,2,3,1,2,2,2,1,1,1,1,1,3,2,1
1,1,7,NA,5,27.8,30.93,27.49,4,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,3,1
1,1,6,NA,5,58.38,57.64,58.06,4,3,3,1,1,1,1,4,4,3,2,3,1,3,3,3,4,3
1,0,5,5,7,66.06,70.05,60.03,6,2,4,4,4,4,4,2,2,2,1,1,1,1,1,1,5,1
2,1,9,6,7,73.75,69.68,74.81,6,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
2,0,7,2,2,45.21,42.46,48.57,NA,1,3,3,3,3,3,1,3,2,1,1,1,1,1,1,2,1
2,0,10,6,6,51.82,53.13,50.29,NA,1,3,3,2,3,3,2,2,2,1,1,1,1,2,1,2,1
2,0,10,2,3,41.54,39.66,44.5,NA,4,1,3,3,2,2,3,NA,1,2,1,1,1,1,1,5,4
1,1,10,5,7,55.97,54.97,56.21,NA,2,3,2,3,1,3,2,1,1,2,NA,1,1,1,1,3,1
1,1,12,6,6,76.99,84.85,65.7,NA,2,4,4,3,3,4,2,2,1,1,1,1,1,1,1,1,1
2,1,10,7,5,56.34,59.74,52.14,3,2,3,3,1,2,2,2,2,2,1,2,1,1,1,2,5,5
NA,NA,13,NA,3,53.79,50.59,56.51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,6,6,59.85,58.79,59.66,3,2,3,3,2,3,3,3,3,2,1,2,1,1,1,2,2,2
2,0,9,6,6,51.08,50.87,51.15,3,1,4,4,2,2,4,2,2,1,1,1,1,1,1,1,2,1
1,1,10,5,3,25.07,30.74,22.57,5,3,3,4,2,4,4,2,3,3,1,2,1,3,1,2,1,1
1,0,8,NA,2,37.05,33.35,42.41,5,2,3,4,1,2,2,4,2,3,2,1,2,1,2,1,2,1
1,0,5,5,5,42.01,46.45,38.59,5,2,3,3,2,2,3,3,2,2,1,1,1,1,1,1,5,2
1,1,8,NA,3,47.03,50.07,44.38,5,2,4,4,2,4,3,3,3,1,2,1,1,1,1,1,2,1
2,1,8,7,3,41.55,42.02,42.16,4,2,3,3,2,3,2,2,2,1,1,1,1,1,1,1,3,1
2,1,11,NA,5,47.81,52.76,43.14,NA,3,4,4,3,2,2,3,3,1,1,1,1,1,2,1,2,2
1,0,1,1,2,28.27,33.29,26.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
2,1,10,7,5,59.76,60.96,57.32,3,3,4,4,4,4,3,3,2,1,1,1,1,1,1,1,1,1
1,1,12,6,6,64.53,66.44,60.77,6,2,4,4,2,3,4,2,3,2,1,1,1,1,1,1,1,1
2,1,8,7,7,52.59,50.01,54.85,1,2,3,3,1,3,2,3,2,1,1,1,1,1,1,1,3,1
1,1,6,5,3,27.85,29.67,28.85,5,3,3,3,2,3,3,3,2,2,1,1,1,1,1,1,2,2
2,1,9,6,7,56.69,52.02,60.52,5,2,3,3,2,3,4,3,2,2,1,1,1,1,1,1,2,3
NA,NA,10,NA,5,50.03,52.05,48.02,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,7,2,7,31.23,31.81,33.04,5,1,3,3,2,4,1,1,2,1,1,1,1,1,1,1,2,1
1,0,6,3,7,47.43,55.26,39.94,5,2,3,4,2,4,3,2,2,1,2,1,1,1,1,1,1,1
2,1,10,NA,5,50.21,49.98,50.42,4,2,4,4,4,4,4,3,2,1,1,1,1,1,1,1,2,1
2,1,8,2,5,35.54,35.7,37.23,4,4,2,3,2,1,1,4,2,1,1,1,1,1,1,1,3,1
1,1,11,5,6,55.19,57.58,52.14,5,2,4,4,3,3,2,2,2,1,1,1,1,1,1,1,3,1
2,1,12,6,6,70.03,64.54,72.97,5,2,2,3,1,NA,3,2,4,1,1,2,1,1,2,3,2,1
2,0,10,3,5,45.63,52.37,39.45,7,1,3,3,2,3,4,3,2,1,1,1,1,1,1,3,1,2
1,1,11,5,5,61.68,62.21,59.66,4,3,3,2,3,3,3,3,2,1,3,2,1,1,2,1,4,2
1,1,8,5,6,41.37,46.74,37.11,1,2,3,3,3,3,3,NA,NA,1,1,1,2,2,1,1,4,1
1,1,9,6,2,49.24,49.16,49.43,1,2,3,3,3,4,2,3,2,1,1,1,1,1,1,1,4,1
2,1,11,5,5,55.27,54.9,54.97,1,2,3,4,3,4,2,2,1,1,1,1,1,1,1,1,2,1
2,0,11,2,6,34.06,37.97,32.18,NA,3,3,2,3,3,1,2,2,1,1,2,1,1,1,1,1,1
