bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
1,0,5,6,7,60.93,62.29,58.18,4,2,3,4,4,3,3,2,2,2,1,1,1,2,1,2,2,1
1,1,10,5,5,47.32,50.23,44.75,3,2,3,3,3,3,3,2,3,2,1,2,1,2,1,2,2,1
2,1,9,6,6,51.32,50.83,51.65,3,2,4,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1
2,1,5,2,3,45.08,54.55,36.24,1,2,3,1,2,4,4,4,4,1,3,1,1,1,1,1,2,5
1,1,10,5,5,47.36,52.53,42.53,1,3,3,3,2,2,3,3,4,2,3,2,2,2,2,3,2,2
1,1,11,5,5,60.58,58.56,61.26,2,2,3,2,2,2,3,3,2,1,1,2,1,1,2,1,1,1
2,1,11,5,5,49.46,48.94,50.05,2,3,4,4,2,4,4,2,2,1,1,2,1,1,1,2,1,1
2,1,11,5,7,58.51,58.63,57.32,1,3,4,4,3,3,2,3,2,2,1,1,1,1,1,1,1,1
NA,NA,5,NA,7,49.03,49.74,48.45,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,NA,7,51.01,49.26,52.64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,6,7,6,40.04,38.83,42.53,3,1,4,4,4,4,4,1,2,1,1,1,1,1,1,1,3,1
1,1,5,5,7,52.62,50.44,54.48,3,2,4,3,4,3,4,3,2,1,2,1,2,1,1,1,2,2
1,0,8,7,7,42.67,42.51,43.76,3,2,3,3,2,3,2,2,2,2,1,1,2,1,1,2,3,1
1,0,9,6,5,46.07,47.15,45.49,2,2,3,4,4,4,4,2,2,3,1,1,1,1,2,1,5,1
2,1,10,NA,3,43.71,42.61,45.61,2,2,3,3,1,2,2,3,1,1,1,1,1,1,1,1,1,1
1,1,10,5,2,55.29,56.42,53.5,2,3,3,4,3,3,2,4,3,2,3,1,2,1,1,1,3,2
2,1,10,4,5,31.78,30.51,35.38,NA,3,3,2,2,3,3,3,2,1,1,1,1,1,1,3,3,1
2,1,5,5,6,50.75,47.16,54.24,NA,3,3,3,3,4,4,4,3,1,1,1,1,1,1,1,1,1
1,1,10,5,5,39.79,38.48,42.41,3,3,3,3,2,2,3,2,3,2,1,NA,1,NA,NA,NA,2,1
2,1,12,4,3,44.5,41.75,47.95,3,4,2,4,4,4,4,3,1,1,1,1,2,1,1,1,5,5
2,1,10,3,3,51.08,47.41,54.61,3,3,2,2,3,2,1,4,3,2,1,2,2,2,1,1,2,1
1,1,10,7,3,59.05,61.74,55.22,3,2,4,3,1,2,3,2,2,1,1,1,1,1,1,1,2,1
2,1,9,7,5,36.89,34.41,41.05,6,2,3,3,2,4,3,3,2,3,1,1,1,1,1,1,2,3
2,0,6,7,3,46.16,44.61,48.2,6,3,4,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1
1,1,10,5,5,51.71,47.25,55.96,4,2,4,4,4,2,3,2,1,1,1,1,1,1,1,1,3,1
2,1,11,NA,3,37.41,41.17,35.26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,5,7,59.81,63.28,55.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,12,5,5,53.44,53.08,53.37,NA,2,3,3,3,2,2,4,3,2,1,2,1,2,2,NA,3,1
2,1,11,5,6,58.27,57.07,58.43,NA,2,3,3,2,1,1,2,3,1,1,1,1,1,1,3,1,1
1,1,6,2,2,44.49,46.54,43.14,7,2,3,3,2,1,4,3,2,2,1,1,1,1,2,3,5,3
2,1,6,5,6,43.52,43.61,44.25,4,2,3,4,3,4,3,2,2,1,1,1,1,1,1,1,3,1
1,1,9,6,6,62.31,60.19,62.86,3,2,4,4,2,2,3,2,3,1,1,1,1,1,1,1,2,1
1,1,10,NA,6,72.12,68.46,72.97,5,2,4,4,3,3,3,2,2,1,1,1,1,1,1,1,2,1
NA,NA,11,NA,5,52.62,52.05,52.87,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,9,6,6,45.51,42.42,49.18,3,3,3,3,1,3,3,2,2,1,1,1,1,1,1,1,2,1
1,1,9,6,6,55.82,60.49,50.42,1,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1,0,9,7,7,69.75,74.38,62.61,1,1,4,4,3,3,4,2,2,1,1,1,1,1,1,1,1,1
2,0,8,5,5,37.76,40.35,36.74,NA,3,4,4,1,4,3,3,3,1,1,1,1,1,1,2,4,2
1,1,9,3,3,54.54,58.34,50.17,3,2,4,4,4,2,3,2,3,1,1,2,1,1,1,1,1,1
2,1,9,6,5,44.79,44.02,46.23,1,2,3,3,2,2,4,2,2,2,1,1,1,1,1,2,2,4
1,1,2,3,5,40.98,44.78,38.34,2,4,1,4,3,4,4,3,1,1,3,2,1,1,1,2,4,3
1,1,10,5,6,44.65,51.76,38.22,2,2,3,3,4,2,3,4,2,2,3,1,1,3,2,2,3,2
2,1,9,2,5,37.72,42.49,34.52,3,3,3,2,2,2,2,3,3,2,2,1,NA,1,1,1,4,3
1,1,1,NA,2,44.45,54.47,35.14,NA,2,3,3,3,3,2,2,2,1,1,2,2,2,1,1,5,1
1,1,11,2,2,36.69,42.53,32.55,NA,2,3,2,2,3,2,2,3,1,3,1,1,1,1,1,3,1
2,1,10,6,5,47.34,46.08,48.94,1,2,4,4,2,4,3,2,3,1,2,1,2,2,1,1,2,3
2,1,10,7,7,46.56,43.76,49.8,5,3,3,3,2,3,2,2,3,2,3,2,1,1,1,2,3,1
2,1,8,7,5,53.93,47.95,59.41,NA,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1
1,1,8,6,5,52.16,58.93,45.12,3,2,4,3,1,3,3,2,2,1,1,1,1,1,1,1,3,1
2,1,11,6,6,51.64,47.36,55.71,1,2,3,3,4,3,4,3,2,1,1,2,1,1,1,2,2,1
1,NA,9,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,5,4,48.97,46.06,52.02,1,2,3,4,2,4,4,2,2,1,1,1,1,1,1,1,1,1
1,1,9,5,5,48.59,56.32,41.05,2,2,3,3,2,3,3,2,2,1,3,1,2,1,2,1,3,2
1,1,9,5,5,53.64,54.31,52.51,2,3,2,3,3,3,3,4,4,2,2,1,1,1,1,1,2,1
1,1,9,2,3,40.12,36.15,45.36,2,2,3,1,2,3,2,2,2,2,2,1,3,3,2,1,2,2
1,1,5,7,5,62.98,62.8,61.51,1,2,4,4,4,2,3,2,2,2,1,2,1,1,1,3,2,1
2,1,12,7,6,54.82,54.56,54.48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,2,2,45.53,48.37,43.27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,5,5,54.96,51.12,58.18,2,2,3,3,1,3,3,1,3,1,2,1,1,1,1,1,2,1
1,1,10,2,3,51.93,58.12,45.49,2,2,3,4,4,3,2,4,2,1,1,1,1,1,1,1,2,1
1,1,6,3,5,52.64,53.79,51.15,2,2,2,3,2,3,3,2,2,1,1,1,1,1,1,1,3,1
NA,NA,10,NA,6,52.39,53.13,51.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,9,7,7,47.11,45.79,48.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,3,3,53.06,55.68,50.05,3,2,3,4,3,3,3,2,3,2,2,1,1,1,2,1,2,1
1,1,9,6,5,43.66,39.33,48.81,3,2,4,4,1,3,4,1,1,1,1,1,1,1,1,1,1,1
2,1,4,5,5,31.78,35.18,30.7,3,2,3,2,2,4,2,4,2,1,1,1,1,1,2,3,1,1
1,1,10,3,3,44.29,44.45,44.87,NA,2,3,3,3,3,3,3,3,1,1,2,1,3,2,3,2,1
1,1,5,NA,7,44.42,45.67,43.88,2,2,2,3,2,1,2,3,3,3,2,3,3,3,2,2,3,3
2,1,9,7,5,57.87,58.17,56.58,NA,2,4,3,2,4,4,3,3,2,1,3,1,1,1,3,1,2
1,1,9,2,3,45.45,47.1,44.38,5,2,3,3,3,3,3,3,1,2,2,1,1,1,1,1,3,5
2,1,11,6,7,71.55,63.34,77.03,2,2,4,4,4,3,4,2,2,1,2,1,1,1,1,1,1,1
