STU_ID,SCH_ID,BYSEX,BYRACE,BYSTLANG,BYPARACE,BYPARLNG,BYFCOMP,BYPARED,BYMOTHED,BYFATHED,BYINCOME,BYSTEXP,BYPARASP,BYTXCSTD,BYTXMSTD,BYTXRSTD,BYSCTRL,BYURBAN,BYREGION,BY10FLP,BYS20A,BYS20B,BYS20C,BYS20D,BYS20E,BYS20F,BYS20G,BYS20H,BYS20I,BYS20J,BYS20K,BYS20L,BYS20M,BYS20N,BYS21A,BYS21B,BYS21C,BYS21D,BYS21E,BYS22A,BYS22B,BYS22C,BYS22D,BYS22E,BYS22F,BYS22G,BYS22H,BYS24A,BYS24B,BYS24C,BYS24D,BYS24E,BYS24F,BYS24G,BYS27A,BYS27B,BYS27C,BYS27D,BYS27E,BYS27F,BYS27G,BYS27H,BYS27I,BYS28,BYS34A,BYS34B,BYS35A,BYS35B,BYS36A,BYS36B,BYS37,BYS38A,BYS38B,BYS38C,BYS42,BYS43,BYS44A,BYS44B,BYS44C,BYS44D,BYS44E,BYS44H,BYS45A,BYS45B,BYS45C,BYS47A,BYS47B,BYS48A,BYS48B,BYS85A,BYS85B,BYS85C,BYS85D,BYS85F,BYS85G,BYS86A,BYS86B,BYS86C,BYS86D,BYS86I,BYS87A,BYS87B,BYS87C,BYS87D,BYS87E,BYS87F,BYS88A,BYS88B,BYS89A,BYS89B,BYS89C,BYS89D,BYS89E,BYS89F,BYS89G,BYS89H,BYS89I,BYS89J,BYS89K,BYS89L,BYS89M,BYS89N,BYS89O,BYS89P,BYS89Q,BYS89R,BYS89S,BYS89T,BYS89U,BYS89V,BYS90A,BYS90B,BYS90C,BYS90D,BYS90E,BYS90F,BYS90G,BYS90H,BYS90J,BYS90K,BYS90L,BYS90M,BYS90Q,BYS91
108111,1081,1,2,1,2,5,1,8,6,8,12,NA,6,66.52,75.98,54.97,1,2,1,1,2,1,1,3,2,2,2,4,4,4,3,3,3,4,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,5,26,5,0,0,5,3,1,1,2,15,1,3,3,1,1,3,3,5,4,3,5,5,0,1,2,2,2,4,4,4,3,3,3,3,1,3,4,3,4,4,3,2,3,3,4,2,3,2,1,3,3,2,3,1,4,1,2,2,NA,2,4,3,3,4,2,2,3,3,3,2,3,3,3,1,2,2,2,2,1
108129,1081,2,7,1,7,1,1,8,7,8,12,6,7,75.55,72.17,75.68,1,2,1,1,2,2,2,3,2,2,2,3,3,4,3,3,4,4,2,2,2,3,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,3,2,2,1,2,2,1,3,2,10,0,5,0,1,4,1,1,2,10,7,2,4,1,1,1,1,5,4,3,5,3,1,1,1,2,1,1,1,2,2,3,2,2,3,3,1,4,NA,1,3,2,3,3,2,4,4,4,4,4,4,4,3,4,2,4,4,3,3,2,3,3,3,3,2,3,3,3,3,2,3,1,3,1,1,2,2,1,1
109103,1091,2,7,1,7,1,1,7,6,7,11,5,6,58.12,58.64,56.58,1,2,1,1,2,3,2,1,2,2,2,3,3,2,3,2,3,3,1,2,3,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,2,1,2,2,1,2,1,2,1,3,0,1,0,1,4,1,1,2,10,1,4,4,1,3,4,3,5,4,3,5,4,2,1,3,1,2,2,1,4,2,3,1,2,1,3,3,3,3,2,3,2,3,2,2,3,3,4,3,4,3,2,3,3,2,3,3,3,2,3,2,2,4,3,2,2,1,1,1,2,3,1,2,1,1,3,2,1,1
109216,1092,1,7,1,7,1,1,4,4,4,10,5,5,55.43,55.57,54.61,1,2,1,1,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,1,2,1,2,1,1,1,5,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,0,2,4,4,3,6,0,3,3,1,1,3,3,5,3,3,5,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109221,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,5,57.68,56.16,58.22,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109227,1092,1,7,1,7,1,5,5,5,5,6,5,6,61.52,60.32,61.26,1,2,1,1,2,2,2,2,2,3,3,3,3,3,2,3,4,3,2,2,2,2,2,2,3,1,1,1,1,1,1,4,2,3,2,1,1,1,3,2,3,2,2,2,2,2,2,2,2,5,1,1,1,1,3,4,2,2,12,5,3,1,2,3,2,1,4,3,3,4,4,1,2,4,3,4,4,1,2,2,2,2,2,2,2,2,3,2,1,2,2,3,4,3,2,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA
109232,1092,1,7,1,1,1,9,5,2,5,11,3,3,47.09,52.65,41.91,1,2,1,1,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,3,3,2,2,3,2,3,2,2,1,1,2,2,1,1,2,1,1,2,0,0,1,1,2,4,1,1,4,3,3,5,3,6,3,1,2,3,4,4,2,1,1,1,2,1,3,4,4,4,4,2,2,3,2,3,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,3,1,3,2,2,3,1
110105,1101,1,7,1,7,1,1,2,2,2,11,6,5,60.39,64.24,55.22,1,2,1,2,2,3,1,3,1,2,2,3,3,4,3,3,3,3,3,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,3,2,3,1,2,3,1,2,1,1,3,3,1,1,1,5,3,2,2,2,0,6,3,2,2,2,3,3,5,4,2,5,3,3,3,4,4,3,4,3,4,3,NA,3,3,3,3,2,3,3,1,2,2,3,4,3,3,3,3,2,3,2,3,2,2,4,2,3,2,3,3,2,3,2,3,3,3,NA,3,2,1,2,2,2,2,2,2,2,3,1
110108,1101,1,7,1,7,1,1,6,6,6,12,5,5,63.64,66.26,59.29,1,2,1,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,3,2,2,3,2,2,2,1,1,2,1,2,1,1,0,4,1,1,1,10,3,3,2,1,1,1,3,4,3,2,4,NA,6,6,2,3,1,1,1,2,2,2,2,2,1,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,2,2,2,2,2,1
110219,1102,1,7,0,7,6,1,8,6,8,12,7,7,56.6,57.39,54.97,1,2,1,NA,2,2,2,2,3,2,1,2,3,3,3,4,4,3,3,4,3,1,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,2,3,2,1,3,4,3,3,2,2,1,12,2,1,0,8,4,1,1,1,0,0,3,1,1,1,1,2,5,5,5,5,4,2,2,1,1,1,1,1,1,2,1,1,2,1,1,4,3,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,2,2,1,1,1,1,3,3,2,1
111211,1112,1,7,1,7,1,1,4,4,2,10,6,5,60.35,63.54,55.84,1,2,1,5,2,2,2,3,2,2,2,4,3,3,3,2,3,3,2,2,2,3,3,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,2,4,1,3,3,1,3,3,2,1,6,2,4,2,4,4,2,2,2,15,1,3,4,2,1,4,1,4,3,4,4,2,2,3,4,3,2,3,3,3,2,2,2,2,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,1,2,1,3,1,2,2,1,2,2,1,1
112215,1122,1,2,1,2,4,1,8,7,8,13,6,7,51.25,54.28,48.07,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,15,1,3,1,7,4,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113106,1131,1,7,1,7,1,5,2,2,2,10,5,5,56.43,53.49,58.55,1,2,1,NA,1,2,2,3,2,2,2,3,3,4,3,3,3,3,2,2,2,2,3,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,3,3,3,1,3,2,2,3,3,3,1,1,1,1,1,0,4,1,1,1,5,2,1,2,1,1,3,1,5,3,5,5,2,2,2,3,2,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,3,2,4,3,3,4,4,3,3,2,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,2,1,3,1,3,2,3,1,2,2,1,2,1
113112,1131,2,5,1,4,1,1,4,4,2,11,5,6,38.08,38,39.69,1,2,1,NA,3,2,2,2,2,2,1,3,3,4,4,4,4,2,2,4,3,3,2,2,3,1,1,1,1,1,1,4,1,4,2,1,1,1,4,3,2,2,2,2,3,3,1,1,5,6,6,6,4,3,3,2,1,2,16,1,4,3,4,1,NA,1,2,2,2,2,3,6,6,2,2,2,2,2,3,2,2,2,2,2,3,3,4,3,3,4,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2
113128,1131,2,2,0,NA,NA,1,7,7,7,10,6,5,45.74,47.64,44.38,1,2,1,NA,2,3,2,2,2,1,2,4,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,1,3,2,3,2,3,12,15,1,1,6,1,4,4,4,4,1,6,4,3,1,3,3,4,5,4,3,5,4,6,6,NA,2,4,3,3,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
