   529.000 1 1 1 1 1      0.957      0.000      0.043      0.000    1
    94.000 1 1 1 0 1      0.687      0.000      0.313      0.000    1
    78.000 0 1 1 1 1      0.859      0.000      0.141      0.000    1
    62.000 1 1 0 1 1      0.580      0.000      0.420      0.000    1
    55.000 1 1 1 1 0      0.650      0.350      0.000      0.000    1
    10.000 1 1 * 1 1      0.916      0.000      0.084      0.000    1
     8.000 1 * 1 1 1      0.869      0.000      0.131      0.000    1
     7.000 1 1 1 * 1      0.917      0.000      0.083      0.000    1
     5.000 1 * * * *      0.391      0.248      0.224      0.136    1
     2.000 * 1 1 1 1      0.944      0.000      0.056      0.000    1
     2.000 1 * * 1 1      0.766      0.000      0.233      0.001    1
     2.000 0 1 * 1 1      0.750      0.000      0.250      0.000    1
     2.000 * * * * 1      0.547      0.000      0.438      0.015    1
     1.000 1 * 1 * 1      0.767      0.000      0.233      0.000    1
     1.000 * * 1 1 1      0.836      0.000      0.164      0.000    1
     1.000 * 1 0 1 1      0.515      0.000      0.485      0.000    1
     1.000 * 1 1 * *      0.755      0.162      0.083      0.000    1
     1.000 1 1 * 0 1      0.520      0.000      0.480      0.000    1
     1.000 0 * 1 1 1      0.646      0.000      0.354      0.000    1
     1.000 1 1 1 1 *      0.927      0.034      0.039      0.000    1
   135.000 1 0 1 0 0      0.002      0.977      0.000      0.021    2
    88.000 0 0 1 0 0      0.000      0.934      0.000      0.066    2
    74.000 1 1 1 0 0      0.063      0.937      0.000      0.000    2
    47.000 1 1 0 0 0      0.006      0.994      0.000      0.000    2
    44.000 1 0 0 1 0      0.004      0.643      0.000      0.353    2
    42.000 0 1 1 0 0      0.013      0.987      0.000      0.000    2
    35.000 0 1 0 0 0      0.001      0.999      0.000      0.000    2
    32.000 1 0 1 1 0      0.056      0.940      0.000      0.005    2
    24.000 0 0 1 1 0      0.011      0.972      0.000      0.017    2
    21.000 0 1 1 1 0      0.262      0.738      0.000      0.000    2
    20.000 1 1 0 1 0      0.150      0.850      0.000      0.000    2
    13.000 0 1 0 1 0      0.033      0.967      0.000      0.000    2
     7.000 1 0 * 0 0      0.001      0.501      0.000      0.498    2
     4.000 0 1 * 0 0      0.008      0.992      0.000      0.000    2
     4.000 0 * 1 0 0      0.005      0.952      0.000      0.044    2
     3.000 1 1 * 0 0      0.039      0.961      0.000      0.000    2
     3.000 1 0 1 * 0      0.014      0.969      0.000      0.017    2
     3.000 1 * * 1 0      0.268      0.633      0.000      0.099    2
     2.000 1 * 1 1 0      0.410      0.588      0.000      0.002    2
     2.000 0 1 1 * 0      0.082      0.918      0.000      0.000    2
     2.000 1 1 * 0 *      0.285      0.470      0.245      0.000    2
     2.000 1 * 1 0 0      0.024      0.962      0.000      0.013    2
     2.000 1 * 0 1 0      0.047      0.704      0.000      0.249    2
     2.000 * 1 0 0 0      0.004      0.996      0.000      0.000    2
