AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
1,1,1,1,1,1,1,1,1,1,9999,38.34,9999,67.22,77.47,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2459
1,0,1,1,1,0,0,0,0,0,9999,41.85,9999,45.81,50.37,9999,1,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,2460
1,1,1,1,1,9999,9999,9999,9999,9999,9999,45.55,43.99,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2463
1,0,0,0,0,0,0,0,0,0,9999,41.17,47.32,41.55,9999,40.89,1,0,0,0,1,0,0,0,0.307,0.693,4,2464
0,0,0,0,0,9999,9999,9999,9999,9999,9999,54.31,61.53,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2465
1,0,1,1,1,1,1,1,1,1,0,49.67,59.42,78.95,78.44,72.08,0,1,1,1,1,1,0.337,0.663,0,0,2,2466
1,1,1,1,0,0,0,0,1,0,0,60.97,63.44,77.97,9999,81.9,0,0,0,1,1,0,0.65,0,0.35,0,1,2467
1,1,1,1,1,0,1,1,1,1,0,62.74,63.76,65.16,68.7,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2469
1,9999,9999,1,0,0,0,0,0,0,0,48.43,40.7,66.77,68.03,9999,1,9999,9999,9999,9999,9999,0.268,0,0.633,0.099,3,2471
1,1,1,1,1,1,0,0,1,1,0,50.31,51.56,61.96,60.5,62.06,1,1,0,1,1,0,0.957,0.043,0,0,1,2474
1,0,0,0,0,9999,9999,9999,9999,9999,0,41.04,45.2,9999,9999,9999,1,0,0,0,0,0,0,0,0.307,0.693,4,2476
1,9999,0,1,0,1,1,1,1,0,0,41.44,37.15,55.42,9999,9999,1,1,1,1,1,1,0.047,0,0.704,0.249,3,2482
1,0,9999,0,0,0,0,0,0,0,9999,34.13,38.01,33.32,37.09,9999,1,9999,9999,9999,9999,9999,0.001,0,0.501,0.498,3,2485
0,0,0,0,0,1,1,0,0,0,0,30.85,57.34,65.12,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2487
1,0,0,0,1,1,1,1,0,0,0,49.2,41.78,67.72,64.41,59.55,0,0,1,1,1,1,0.003,0.937,0,0.06,2,2488
0,0,0,0,0,9999,9999,9999,9999,9999,9999,51.71,52.84,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2489
1,0,0,0,0,9999,9999,9999,9999,9999,9999,64.71,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,2490
0,0,0,0,0,1,0,1,0,0,0,38.02,52.17,51.9,54.45,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2494
1,1,1,0,0,9999,9999,9999,9999,9999,9999,35.62,48.35,9999,9999,9999,1,9999,9999,9999,9999,9999,0.063,0,0.937,0,3,2495
0,0,0,0,0,0,0,0,0,0,0,39.58,35.87,57.34,57.28,55.37,0,1,1,0,1,1,0,0,0.117,0.883,4,2498
1,0,1,1,0,1,1,1,1,1,0,48.58,50.89,9999,9999,68.88,1,1,1,1,1,1,0.056,0,0.94,0.005,3,2500
1,0,0,0,0,9999,9999,9999,9999,9999,0,31.32,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,2501
1,1,1,0,1,1,1,1,0,1,0,61.44,67.38,85.59,85.93,90.54,0,1,0,1,1,1,0.687,0.313,0,0,1,2502
1,1,1,1,1,9999,9999,9999,9999,9999,0,60.41,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2508
0,0,0,0,1,1,0,1,0,1,0,61.58,62.73,72.95,9999,9999,1,1,0,1,1,0,0.001,0.763,0,0.236,2,2510
1,1,1,1,1,0,0,0,0,0,0,47.65,9999,9999,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,2511
1,1,1,1,1,1,1,1,0,0,0,45.2,42.69,62.26,63.05,9999,0,1,0,1,1,1,0.957,0.043,0,0,1,2514
1,0,1,1,0,0,0,0,0,0,0,48.57,52.79,60.06,9999,9999,0,9999,9999,9999,9999,9999,0.056,0,0.94,0.005,3,2522
1,0,1,1,0,0,0,0,0,0,0,44.63,52.16,66.92,67.87,69.64,1,0,0,0,1,0,0.056,0,0.94,0.005,3,2524
0,0,0,0,0,0,0,1,0,0,0,58.49,62.59,75.56,75.44,79.3,1,1,1,1,1,1,0,0,0.117,0.883,4,2525
1,1,1,1,1,0,0,0,0,0,0,36.18,42.95,37.15,44.6,44.24,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2527
0,0,0,1,1,0,1,1,1,1,0,42.86,50.92,61.87,58.26,65,1,0,0,0,0,0,0.008,0.965,0,0.026,2,2528
0,0,1,0,0,0,0,0,0,0,0,43.98,38.9,56.47,9999,9999,0,1,1,1,1,1,0,0,0.934,0.066,3,2531
0,0,0,1,0,9999,9999,9999,9999,9999,0,69.87,70.9,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,2534
1,0,1,0,0,1,0,1,0,0,0,54.52,50.69,51.69,59.13,59.73,1,1,1,1,0,0,0.002,0,0.977,0.021,3,2535
1,0,0,0,1,1,1,1,1,1,0,44,46.39,68.55,72.4,9999,0,1,1,1,1,1,0.003,0.937,0,0.06,2,2539
1,1,1,1,1,9999,9999,9999,9999,9999,0,60.66,67.88,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2540
1,1,1,1,1,1,1,1,1,1,0,47.2,56.44,61.41,66.01,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2542
9999,1,0,0,0,9999,9999,9999,9999,9999,9999,45.72,40.12,9999,9999,9999,0,9999,9999,9999,9999,9999,0.004,0,0.996,0,3,2543
1,0,0,0,0,9999,9999,9999,9999,9999,0,44.33,9999,9999,9999,65.69,0,0,1,0,0,0,0,0,0.307,0.693,4,2544
1,1,1,1,1,1,9999,1,0,1,0,55.85,56.4,64.26,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,2545
0,0,0,0,0,0,0,0,0,0,0,42.6,46.17,57.49,54.16,40.29,0,1,1,1,1,0,0,0,0.117,0.883,4,2547
1,1,1,1,1,1,1,1,1,1,0,59.47,62.17,71.98,78.52,83.35,0,1,1,1,1,1,0.957,0.043,0,0,1,2548
0,0,0,0,0,1,1,0,0,0,9999,60.5,56.07,64.2,64.85,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2552
1,0,1,1,1,9999,9999,9999,9999,9999,9999,39.17,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,2553
0,0,0,0,0,0,0,1,0,0,0,60.77,60.26,74.08,74.98,87.72,1,0,1,1,1,1,0,0,0.117,0.883,4,2554
1,0,0,1,1,1,1,1,1,1,0,45.09,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,2555
9999,9999,1,9999,0,0,0,0,0,0,0,54.8,9999,72.73,9999,9999,0,9999,9999,9999,9999,9999,0.104,0,0.877,0.019,3,2556
1,0,0,0,0,9999,9999,9999,9999,9999,9999,48.83,59.95,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,2558
1,1,1,1,1,1,1,0,1,1,1,71.32,75.82,80.19,91.45,89.34,0,0,1,1,1,1,0.957,0.043,0,0,1,2559
0,1,1,1,1,1,1,1,1,1,0,32.04,45.23,9999,9999,51.34,1,0,0,0,0,0,0.859,0.141,0,0,1,2561
1,0,1,1,1,1,0,1,1,1,0,40.18,54.79,59.13,9999,67.74,0,1,0,1,1,0,0.337,0.663,0,0,2,2563
0,0,0,0,0,9999,9999,9999,9999,9999,9999,41.89,37.29,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2564
1,0,0,0,0,0,0,0,0,0,0,43.55,52.07,9999,61.26,9999,0,1,1,1,1,1,0,0,0.307,0.693,4,2566
0,0,0,0,0,0,0,0,1,0,0,62.84,69.18,73.85,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2568
1,0,9999,0,1,0,0,0,0,0,9999,38.92,48.16,42.3,9999,9999,0,9999,9999,9999,9999,9999,0.023,0.943,0,0.033,2,2569
1,1,0,0,1,1,1,1,1,1,0,56.4,63.54,73.27,9999,9999,1,9999,9999,9999,9999,9999,0.121,0.879,0,0,2,2573
0,0,1,0,0,0,1,0,1,1,0,44.8,40.04,65.91,69.55,70.53,0,0,0,0,0,0,0,0,0.934,0.066,3,2575
0,0,0,0,0,0,0,0,0,0,0,57.4,68.5,76.44,79.93,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2576
0,0,0,0,0,9999,9999,9999,9999,9999,9999,41.84,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2577
1,9999,0,0,1,1,1,1,1,1,9999,39.2,42.91,43.82,9999,9999,1,9999,9999,9999,9999,9999,0.038,0.92,0,0.042,2,2580
1,1,1,1,1,9999,9999,9999,9999,9999,9999,80.83,9999,9999,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,2581
1,0,0,1,1,1,0,1,1,0,0,45.5,52.13,69.08,68.13,9999,0,1,1,1,1,1,0.031,0.964,0,0.006,2,2583
0,0,0,0,0,9999,9999,9999,9999,9999,9999,38.57,43.99,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2584
0,0,0,0,0,1,1,1,1,1,9999,55.98,60.45,68.87,73.99,71.77,0,1,0,1,1,0,0,0,0.117,0.883,4,2586
1,1,1,1,1,0,0,0,0,0,9999,40.97,44.56,51.61,9999,46.05,0,1,1,1,1,1,0.957,0.043,0,0,1,2590
1,0,0,0,0,1,0,0,0,0,0,43.52,53.77,66.34,70.28,9999,1,1,1,1,1,1,0,0,0.307,0.693,4,2593
0,0,0,0,0,9999,9999,9999,9999,9999,0,9999,51.97,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2596
1,0,0,0,1,1,0,0,0,0,9999,46.57,50.83,56.48,9999,62.09,1,1,1,1,1,1,0.003,0.937,0,0.06,2,2597
1,1,1,0,1,1,1,1,1,1,0,71.56,76.63,80.8,89.96,89.81,0,1,0,1,1,1,0.687,0.313,0,0,1,2598
1,0,0,0,0,1,1,1,1,1,0,58.34,67.29,78.63,80.34,75.07,1,1,1,1,1,1,0,0,0.307,0.693,4,2599
1,0,1,0,1,9999,9999,9999,9999,9999,9999,46.12,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.048,0.951,0,0.001,2,2601
1,0,1,1,0,0,0,0,0,0,0,53.66,9999,9999,9999,9999,0,1,0,1,1,1,0.056,0,0.94,0.005,3,2604
0,0,0,0,0,1,1,0,0,0,9999,52.98,54.61,71.75,72.24,66.19,1,1,1,1,1,1,0,0,0.117,0.883,4,2605
9999,1,1,1,1,9999,9999,9999,9999,9999,0,36.89,28.98,51.29,9999,9999,0,9999,9999,9999,9999,9999,0.944,0.056,0,0,1,2606
1,0,0,0,0,0,0,1,0,0,9999,52.04,54.58,62.09,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,2609
1,1,0,0,1,9999,9999,9999,9999,9999,9999,59.75,63.93,9999,9999,9999,1,9999,9999,9999,9999,9999,0.121,0.879,0,0,2,2610
1,1,1,0,0,1,0,0,0,0,9999,43.74,56.84,57.31,58.75,9999,0,9999,9999,9999,9999,9999,0.063,0,0.937,0,3,2614
0,0,1,1,1,1,1,0,0,1,9999,36.98,30.78,54.08,64.85,78.65,0,1,1,1,1,1,0.122,0.877,0,0,2,2616
1,0,0,0,0,0,0,0,0,0,0,57.87,9999,76.01,9999,81.32,0,0,0,0,1,1,0,0,0.307,0.693,4,2617
1,0,1,1,0,1,0,1,1,0,0,63.76,72.66,78.84,81.62,87.88,0,1,1,1,1,1,0.056,0,0.94,0.005,3,2618
1,1,0,0,0,0,0,0,0,0,9999,31.35,55.81,66.71,63.79,9999,1,9999,9999,9999,9999,9999,0.006,0,0.994,0,3,2619
1,0,0,0,0,1,0,1,1,0,0,62.34,61.83,66.27,62.88,69.3,1,0,0,1,1,0,0,0,0.307,0.693,4,2620
1,1,1,1,1,9999,9999,9999,9999,9999,0,49.33,57.62,9999,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,2621
0,0,0,1,0,1,1,1,1,1,0,53.63,58.41,67.46,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,2622
1,0,1,0,1,1,1,0,1,1,0,42.57,44.69,59.72,60.32,63.03,1,1,1,1,1,1,0.048,0.951,0,0.001,2,2623
0,0,0,0,0,0,0,0,0,0,0,49.41,54.33,65.76,68.7,9999,0,1,1,1,1,1,0,0,0.117,0.883,4,2625
0,0,0,0,0,9999,9999,9999,9999,9999,0,45.63,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2626
1,1,1,1,1,0,0,0,0,0,9999,38.58,39.51,50.61,36.55,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2627
0,0,0,1,0,0,1,1,1,0,9999,39.1,38.55,42.88,53.74,9999,0,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,2628
0,0,1,0,0,0,0,0,0,0,9999,59.61,56.93,64.52,66.64,69.56,1,0,0,1,1,0,0,0,0.934,0.066,3,2630
1,1,1,1,1,1,1,1,1,1,0,36.53,51.58,9999,9999,73.13,1,1,0,0,1,0,0.957,0.043,0,0,1,2632
0,0,0,0,1,0,0,0,0,0,9999,54.98,59.4,65.73,9999,9999,1,9999,9999,9999,9999,9999,0.001,0.763,0,0.236,2,2634
1,1,1,0,1,1,1,0,1,1,0,51.9,52.59,63,64.07,68.67,1,1,1,1,1,1,0.687,0.313,0,0,1,2635
9999,0,0,0,0,1,1,0,0,0,0,46.96,52.71,55.32,60.19,61.53,0,0,1,1,1,0,0,0,0.186,0.814,4,2636
0,0,0,0,0,0,0,0,0,0,0,57.61,60.38,72.38,73.2,78.87,1,0,0,0,1,0,0,0,0.117,0.883,4,2637
1,0,1,0,0,1,1,1,1,1,0,57.25,58.4,74.5,74.37,9999,1,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,2638
1,1,0,1,0,0,0,0,0,0,0,63.32,68.04,73.7,9999,79.43,0,1,1,1,1,0,0.15,0,0.85,0,3,2641
0,0,0,0,0,0,0,0,0,0,9999,53.15,58.13,66.66,70.75,9999,1,1,1,0,1,0,0,0,0.117,0.883,4,2642
1,9999,1,0,1,1,0,1,0,0,0,59.14,9999,60.61,62.9,9999,1,1,1,1,1,0,0.397,0.602,0,0,2,2643
1,0,1,9999,0,1,0,0,0,0,0,61.97,66.7,80.49,9999,9999,1,0,0,1,1,0,0.014,0,0.969,0.017,3,2645
0,0,9999,0,0,9999,9999,9999,9999,9999,9999,52.16,46.07,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.231,0.769,4,2647
1,0,0,0,1,1,0,1,0,0,9999,49.87,60.82,74.12,74.97,9999,0,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,2650
1,1,1,0,0,9999,9999,9999,9999,9999,0,37.75,35.46,49.83,38.38,9999,1,9999,9999,9999,9999,9999,0.063,0,0.937,0,3,2651
0,0,0,0,0,1,0,0,0,0,0,53.06,60.88,65.84,70.51,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2652
0,1,0,0,0,9999,9999,9999,9999,9999,9999,45.05,9999,9999,9999,9999,0,0,0,1,1,0,0.001,0,0.999,0,3,2653
0,0,1,0,0,0,0,0,1,0,0,43.73,60.83,71.01,74.19,9999,0,0,1,1,0,1,0,0,0.934,0.066,3,2657
0,0,0,0,0,1,0,0,0,0,0,39.12,37.43,41.3,46.34,9999,0,0,0,0,0,0,0,0,0.117,0.883,4,2658
0,0,0,0,0,9999,9999,9999,9999,9999,9999,57.13,57.35,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2659
1,1,1,1,1,1,1,0,0,0,9999,52.89,9999,76.18,78.32,82.29,0,1,1,1,1,1,0.957,0.043,0,0,1,2661
1,0,1,0,0,9999,9999,9999,9999,9999,0,60.11,63.01,9999,9999,9999,1,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,2662
1,1,1,1,1,0,0,0,0,0,0,39.67,36.23,31.96,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2663
0,0,0,0,0,1,1,1,1,1,0,44.45,42.09,54.81,57.84,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2664
0,0,0,0,0,9999,9999,9999,9999,9999,0,41.49,9999,9999,9999,9999,0,0,0,1,1,1,0,0,0.117,0.883,4,2665
1,0,0,1,1,0,0,0,0,0,0,43.79,45.31,49.83,9999,9999,0,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,2669
0,0,0,0,1,0,9999,1,0,0,9999,35.92,9999,34.82,32.26,9999,0,9999,9999,9999,9999,9999,0.001,0.763,0,0.236,2,2671
0,0,0,0,0,0,0,0,0,0,0,45,52.78,64.18,66.44,64.75,1,0,0,0,0,0,0,0,0.117,0.883,4,2672
1,0,1,0,0,1,1,1,9999,0,0,56.39,62.07,76.14,80.88,77.94,1,1,1,1,1,1,0.002,0,0.977,0.021,3,2673
0,0,0,0,0,0,0,0,0,0,0,53.29,52.85,53.82,61.38,9999,0,1,1,1,1,1,0,0,0.117,0.883,4,2674
1,1,0,0,1,1,1,9999,1,1,0,45.5,44.85,45.55,9999,42.3,0,1,1,1,1,1,0.121,0.879,0,0,2,2676
1,1,0,1,0,0,1,0,0,0,9999,42.69,47.69,58.04,60.4,9999,1,9999,9999,9999,9999,9999,0.15,0,0.85,0,3,2677
1,0,1,1,1,1,1,1,1,1,0,61.63,68.67,76.42,86.09,90.03,0,1,0,1,1,1,0.337,0.663,0,0,2,2679
1,1,1,1,1,1,1,1,1,1,0,50.09,54.43,68.14,70.06,72.7,1,0,0,1,1,0,0.957,0.043,0,0,1,2680
0,0,1,1,1,9999,9999,9999,9999,9999,9999,43.36,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.122,0.877,0,0,2,2682
1,0,0,0,1,1,1,1,1,1,9999,59.52,55.93,64.96,9999,9999,0,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,2683
1,0,0,0,1,1,0,0,0,0,0,58,57.96,73.04,9999,9999,1,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,2687
0,0,0,1,0,1,1,1,1,1,0,52.57,62.39,81.26,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,2689
1,0,0,0,0,9999,9999,9999,9999,9999,0,42.19,45.9,60.35,53.85,50.98,0,0,0,0,1,0,0,0,0.307,0.693,4,2691
0,0,1,0,0,1,1,0,0,0,9999,40.18,56.54,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.934,0.066,3,2692
1,0,0,0,0,0,1,0,1,1,0,44.92,51.72,53.99,61.28,64.8,1,1,1,1,1,0,0,0,0.307,0.693,4,2693
0,0,0,0,0,9999,9999,9999,9999,9999,0,52.82,9999,9999,9999,9999,1,1,1,1,1,1,0,0,0.117,0.883,4,2694
0,1,1,0,0,0,0,0,0,0,9999,45.5,55.84,66.18,66.13,9999,1,0,0,0,0,1,0.013,0,0.987,0,3,2695
0,1,1,0,1,0,0,0,1,0,0,65.2,75.03,81.33,88.15,9999,0,0,1,1,1,1,0.376,0.624,0,0,2,2697
0,0,0,0,0,0,0,0,0,0,0,36.32,42.95,51.99,58.29,9999,0,1,1,1,1,1,0,0,0.117,0.883,4,2699
0,0,0,0,0,0,0,0,0,0,9999,52.41,53.44,66.97,67.64,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2701
1,1,1,0,1,1,0,1,1,0,0,49.87,41.28,61.64,52.33,9999,0,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,2703
1,0,1,1,1,1,1,1,0,0,9999,44.83,36.23,39.13,9999,9999,1,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,2708
0,0,1,1,1,9999,9999,9999,9999,9999,0,65.1,76.1,9999,77.43,9999,0,1,1,1,1,1,0.122,0.877,0,0,2,2709
1,0,1,1,1,1,1,1,1,1,9999,49.85,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,2710
1,1,1,0,1,1,1,1,1,1,1,67.52,74.14,76.05,83.04,97.67,0,1,1,1,1,1,0.687,0.313,0,0,1,2716
1,0,0,0,1,0,0,1,0,0,0,46.26,48.95,52.56,50.8,45.98,1,0,0,0,1,1,0.003,0.937,0,0.06,2,2718
0,1,1,1,0,0,0,1,0,0,0,60.66,64.21,73.06,77.44,80.99,1,1,0,1,1,1,0.262,0,0.738,0,3,2719
1,0,0,0,1,1,0,1,0,0,0,51.15,46.14,48.44,51.5,9999,1,0,0,1,0,0,0.003,0.937,0,0.06,2,2720
0,0,1,0,0,0,0,0,0,0,9999,47.74,47.95,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.934,0.066,3,2721
1,0,0,0,0,0,0,0,1,0,0,44.67,46.52,54.66,55.61,43.84,1,0,1,0,1,0,0,0,0.307,0.693,4,2722
1,0,1,0,0,0,0,0,0,0,9999,44.32,50.11,55.49,9999,9999,1,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,2723
0,0,0,0,0,9999,9999,9999,9999,9999,9999,37.77,50.62,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2724
1,9999,1,1,0,9999,9999,9999,9999,9999,9999,32.12,28.42,9999,9999,9999,0,9999,9999,9999,9999,9999,0.41,0,0.588,0.002,3,2726
1,1,1,1,1,1,1,9999,1,1,0,60.34,67.3,79.78,83.81,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2729
1,1,1,0,1,1,0,0,1,1,0,63.69,71.07,77.34,86.66,83.94,1,1,0,1,0,0,0.687,0.313,0,0,1,2731
0,0,1,0,0,9999,9999,9999,9999,9999,9999,61.87,67.12,88.53,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.934,0.066,3,2732
1,1,1,9999,1,9999,9999,9999,9999,9999,0,34.39,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.917,0.083,0,0,1,2734
0,0,1,0,0,1,0,1,1,1,0,55.95,62.45,71.46,71.98,71.25,1,1,1,1,1,1,0,0,0.934,0.066,3,2737
0,1,1,9999,0,0,0,0,0,0,0,39.15,44.44,36.35,9999,9999,1,9999,9999,9999,9999,9999,0.082,0,0.918,0,3,2738
1,1,0,0,1,1,0,0,1,1,9999,42.06,31.94,43.41,41.11,49.19,0,1,1,1,1,1,0.121,0.879,0,0,2,2740
1,1,1,1,1,9999,9999,9999,9999,9999,0,74.35,9999,9999,9999,9999,1,0,0,0,1,0,0.957,0.043,0,0,1,2741
1,0,0,1,0,0,0,1,0,0,0,47.72,9999,56.7,9999,9999,1,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,2742
0,0,0,0,0,1,0,0,0,0,9999,46.87,41.49,47.8,9999,43.66,1,0,0,0,0,0,0,0,0.117,0.883,4,2746
0,0,0,1,0,9999,9999,9999,9999,9999,0,47.63,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,2747
0,0,0,0,0,9999,9999,9999,9999,9999,0,48.82,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2748
1,0,0,1,0,1,0,1,1,1,0,61.41,67.15,72.86,77.76,81.36,0,1,1,1,1,1,0.004,0,0.643,0.353,3,2750
1,0,0,0,0,0,0,0,0,0,9999,35.88,9999,9999,73.51,9999,0,0,0,0,1,0,0,0,0.307,0.693,4,2752
1,1,1,1,1,0,0,0,0,0,0,62.71,68.23,72.98,9999,9999,0,0,0,0,0,0,0.957,0.043,0,0,1,2755
1,1,1,1,1,9999,9999,9999,9999,9999,9999,53.96,55.04,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2757
1,0,0,0,0,0,0,0,0,0,0,43.07,50.51,56.31,55.33,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,2759
1,0,0,0,1,1,0,0,0,0,0,53.63,60.3,68.27,9999,9999,0,1,1,1,1,1,0.003,0.937,0,0.06,2,2761
1,1,1,1,0,1,1,1,1,1,0,56.97,65.77,73.01,77.96,78.62,0,1,0,1,1,1,0.65,0,0.35,0,1,2763
1,0,1,0,1,1,1,1,1,1,0,45.19,49.2,55.25,62.46,57.34,1,0,1,1,0,0,0.048,0.951,0,0.001,2,2765
1,1,1,1,1,1,1,1,1,1,9999,73.22,75.07,82.07,89.42,85.86,1,0,0,1,1,0,0.957,0.043,0,0,1,2766
1,0,1,0,0,0,0,9999,0,0,9999,58.18,9999,65.25,65.48,9999,0,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,2768
1,0,0,0,1,9999,9999,9999,9999,9999,0,9999,65.49,9999,86.91,9999,0,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,2773
1,9999,9999,1,0,1,1,0,1,1,9999,42.52,38.37,53.39,9999,50.53,0,1,1,1,1,1,0.268,0,0.633,0.099,3,2775
0,1,1,0,0,1,1,1,1,1,9999,32.8,28.54,9999,9999,9999,0,9999,9999,9999,9999,9999,0.013,0,0.987,0,3,2776
1,1,1,1,1,9999,9999,9999,9999,9999,9999,59.85,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,2779
1,0,0,0,0,1,0,1,1,1,0,30.65,57.93,9999,9999,47.06,1,1,0,0,0,0,0,0,0.307,0.693,4,2783
1,1,1,0,1,9999,9999,9999,9999,9999,9999,36.78,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,2784
0,0,0,0,0,1,1,1,1,1,0,61.67,63.86,73.47,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,2788
0,0,1,0,0,0,0,0,0,0,0,65.79,72.96,84.97,9999,9999,1,1,1,1,1,1,0,0,0.934,0.066,3,2792
1,0,1,0,1,1,1,1,1,1,0,44.95,44.56,41.76,9999,52.25,1,0,1,1,1,1,0.048,0.951,0,0.001,2,2793
1,0,0,0,0,1,0,0,0,1,9999,61.73,62.01,69.61,65.53,73.92,1,1,1,1,1,1,0,0,0.307,0.693,4,2795
1,0,1,1,1,1,1,1,1,1,0,71.14,66.16,78.64,81.97,85.22,1,0,0,1,0,1,0.337,0.663,0,0,2,2797
1,1,1,1,1,1,1,1,1,1,0,50.7,56.75,63.07,67.21,69.47,0,0,0,0,0,0,0.957,0.043,0,0,1,2798
1,0,1,1,1,9999,9999,9999,9999,9999,9999,35.77,35.04,9999,9999,9999,0,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,2799
0,0,0,1,0,0,1,1,1,0,0,58.09,61.56,66.83,68.96,78.29,1,1,1,1,1,1,0,0,0.353,0.647,4,2800
1,1,1,1,1,1,1,1,9999,1,0,56.47,60.16,69.31,67.47,9999,0,1,1,1,1,0,0.957,0.043,0,0,1,2804
0,0,1,0,0,9999,9999,9999,9999,9999,0,52.79,56.57,9999,9999,67.62,0,1,1,1,1,1,0,0,0.934,0.066,3,2806
1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,2808
