AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
0,0,0,1,0,9999,9999,9999,9999,9999,9999,55.5,9999,9999,9999,9999,1,1,1,1,1,0,0,0,0.353,0.647,4,1089
1,0,0,1,1,9999,9999,9999,9999,9999,9999,53.67,49.11,9999,9999,9999,0,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,1091
1,0,1,1,1,0,1,1,1,1,0,46.02,65.57,9999,9999,9999,0,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,1092
1,0,0,1,0,0,1,1,0,0,9999,40.05,42.2,43.3,9999,9999,1,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,1094
0,0,0,0,0,0,9999,0,0,0,9999,49.6,54.13,73.7,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1095
1,1,1,1,1,9999,9999,9999,9999,9999,0,45.91,47.11,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1097
0,1,0,0,0,1,1,1,0,1,0,37.2,38.52,34.64,9999,9999,1,9999,9999,9999,9999,9999,0.001,0,0.999,0,3,1103
1,0,0,1,0,0,0,1,0,0,0,59.31,65.43,72.89,82.84,84.38,1,1,1,1,1,1,0.004,0,0.643,0.353,3,1104
0,0,0,0,0,0,0,0,0,0,9999,66.87,66.33,73.29,79.1,85.95,1,0,0,0,0,0,0,0,0.117,0.883,4,1108
0,0,0,1,0,1,0,1,0,0,0,49.63,60.54,71.42,71.19,72.79,1,1,1,1,1,0,0,0,0.353,0.647,4,1112
1,0,0,1,0,0,0,0,0,1,9999,51.49,9999,63.08,9999,9999,0,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,1116
1,9999,1,1,1,1,1,1,1,1,0,56.07,52.74,59.22,63.79,67.71,0,1,9999,1,1,1,0.869,0.131,0,0,1,1123
1,0,0,1,1,0,1,0,0,0,0,60.3,58.14,73.72,79.46,9999,0,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,1124
0,0,0,1,1,9999,9999,9999,9999,9999,0,62.99,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.008,0.965,0,0.026,2,1126
0,0,0,9999,1,9999,9999,9999,9999,9999,9999,33.69,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.004,0.841,0,0.156,2,1127
1,0,1,0,1,1,0,1,1,0,9999,40.34,43.3,61.15,9999,9999,0,9999,9999,9999,9999,9999,0.048,0.951,0,0.001,2,1129
1,1,1,1,1,1,1,1,1,1,0,65.79,73.21,75.49,76.15,79.65,1,1,0,1,1,1,0.957,0.043,0,0,1,1132
1,1,1,1,1,1,0,1,0,1,0,62.94,62.7,69.29,79.19,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1134
1,1,1,9999,1,1,1,1,0,1,9999,44.28,49.2,68.35,70.95,69.43,0,1,1,1,1,1,0.917,0.083,0,0,1,1135
1,1,0,0,1,0,0,0,0,0,0,48.83,43.05,59.22,62.18,9999,1,9999,9999,9999,9999,9999,0.121,0.879,0,0,2,1137
1,0,0,0,0,0,0,0,0,0,9999,41.94,43.92,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1138
1,0,0,0,1,1,1,1,1,1,1,68.37,82.04,86.69,88.24,9999,0,1,0,1,1,1,0.003,0.937,0,0.06,2,1140
