10028	199500	.	1	.	.	.	.	36.7501	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10029	199405	-0.8297	1	8	1	.	34.9344	.	1.5	1.5	2	2	1	1	2	3	3	2	2	2	2	2	2	2	0	1	1	2	3	2	2	3	2	2	3	3	3	0	2	2	2	2	3	3	1	3	3
10030	199412	1.5809	2	8	5	5	70.8013	63.664	3.5	3.5	6	8	1	2	2	3	2	3	2	3	3	2	3	2	0	1	2	.	.	.	3	2	3	3	2	3	2	.	2	3	3	3	2	3	1	3	2
10031	199500	.	2	3	.	.	.	35.6931	3	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10033	199503	-0.6008	2	6	2	1	28.9385	.	.	.	11	4	2	2	.	.	.	.	.	.	.	.	.	.	.	2	2	.	.	.	.	.	.	.	.	.	.	.	1	1	2	4	1	2	2	1	2
10034	199411	-0.0409	2	5	.	.	44.3582	40.308	1.5	1.5	4	.	1	1	3	4	3	2	1	2	2	1	3	4	0	3	2	2	3	4	1	1	2	2	1	3	2	0	2	2	3	2	2	3	3	2	2
10035	199300	.	1	3	2	2	.	45.77	2	2	.	11	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10036	199503	0.1493	2	8	3	3	56.6409	52.2038	3.5	3	8	6	3	3	4	4	4	3	2	3	4	3	3	3	0	2	2	.	.	.	.	.	.	.	.	.	.	.	2	1	2	3	2	2	1	1	2
10037	199506	0.5238	2	8	3	3	62.7847	52.1973	4	4	8	8	3	3	3	3	3	3	3	3	3	3	4	3	0	3	3	.	.	.	.	.	.	.	.	.	.	.	2	2	2	3	1	1	1	1	1
10038	199507	1.0472	1	2	4	.	33.6149	51.8459	2	1.5	6	4	2	2	3	3	3	2	3	3	3	2	3	2	0	2	2	.	.	.	2	2	3	2	3	3	2	1	2	2	3	3	1	2	2	1	1
10039	199410	0.6753	2	2	4	4	65.5911	32.784	4	3.5	8	10	4	4	3	3	3	4	4	4	4	3	3	2	1	2	3	3	3	3	2	3	2	3	3	2	3	0	2	2	3	2	1	1	1	1	1
10040	199411	-0.082	1	8	.	.	30.1157	.	1.5	1.5	10	.	3	2	3	2	3	3	3	3	3	2	2	3	0	4	4	.	.	.	.	.	.	.	.	.	.	.	1	1	2	4	2	4	4	3	2
10041	199312	-0.7046	2	8	2	.	33.5529	45.2625	1.5	2	3	1	1	1	.	.	.	.	.	.	.	.	.	.	.	1	1	.	.	.	.	.	.	.	.	.	.	.	2	3	2	4	2	3	4	1	3
10042	199311	-0.0821	1	8	.	.	46.8918	.	0.5	0.5	6	.	1	1	3	4	4	1	1	1	1	1	4	1	0	3	2	1	3	3	4	3	3	3	3	3	3	0	1	1	1	3	2	4	1	1	1
10043	199407	-0.3642	2	8	.	.	46.9388	43.7001	2.5	2.5	6	.	2	2	2	3	2	3	2	2	3	2	3	3	0	2	2	3	3	3	3	3	3	3	3	2	3	1	2	2	2	3	2	2	1	2	1
10044	199409	1.3291	1	8	4	7	67.1436	70.3431	3.5	3.5	10	10	4	4	3	3	2	4	4	4	4	4	3	3	1	3	2	2	3	2	2	3	2	3	3	3	3	0	1	1	1	3	1	2	4	1	2
10045	199501	-0.2739	2	8	2	3	45.1566	39.7466	.	.	4	4	3	2	1	3	2	3	2	3	2	3	4	3	0	2	2	3	3	3	3	3	2	3	3	3	4	0	1	2	1	4	2	3	2	2	1
10046	199409	-0.1707	2	8	.	.	47.4921	51.5154	3	2	11	.	2	2	4	4	4	3	3	3	3	3	3	3	0	2	2	3	4	4	3	2	2	3	2	2	2	0	2	2	2	3	2	2	1	2	1
10047	199500	.	1	.	.	.	.	52.065	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10048	199308	-0.2888	2	8	.	.	48.3878	52.3038	3	2.5	4	.	3	3	3	4	4	3	2	3	4	2	3	3	0	2	3	3	4	3	3	2	3	3	4	3	3	0	2	2	2	3	1	2	1	1	1
10049	199506	0.3972	2	5	2	5	62.5559	69.39	4	4	8	8	4	4	4	4	4	4	4	4	4	4	4	4	1	2	2	2	4	3	4	4	4	4	3	4	3	0	1	2	1	4	2	1	1	1	2
10050	199508	-1.1012	2	8	2	.	31.7241	47.8511	1.5	1.5	2	11	3	2	4	4	4	4	4	4	4	4	4	4	1	1	1	3	3	1	2	3	3	3	1	2	1	0	1	1	1	4	2	3	2	1	3
10052	199503	-0.5433	2	8	.	.	38.5212	37.2593	3	2.5	11	.	3	2	4	4	4	4	.	4	4	4	3	2	0	1	1	1	2	.	2	1	3	3	2	2	4	0	2	1	1	4	2	3	1	1	1
10053	199411	0.9842	1	8	4	.	54.806	.	2	2	10	6	1	2	3	3	3	3	2	3	3	2	4	2	0	2	2	2	2	3	3	2	3	3	2	3	2	1	2	2	2	3	2	2	2	2	1
10054	199505	-0.2606	2	6	2	2	48.8039	49.0123	3.5	2	8	8	3	3	3	3	3	2	2	3	3	3	3	3	0	4	4	2	3	3	3	2	3	3	3	3	3	0	2	1	1	3	1	2	1	2	1
10055	199412	1.4132	1	2	5	5	69.24	74.592	4	3.5	8	8	4	4	4	3	3	4	4	4	4	4	4	4	0	4	4	3	4	2	3	3	3	3	2	3	1	0	2	2	2	3	1	2	1	1	1
10056	199508	-0.7901	2	8	2	.	56.8163	48.5795	3	2.5	6	11	2	3	3	3	3	3	3	3	3	2	3	3	0	2	3	3	3	2	3	3	3	3	2	3	3	0	2	2	2	3	2	2	1	1	1
10057	199500	.	2	.	.	.	.	60.1523	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
